# nu h lw logL logPrior
1.099970048789020751e+02 1.031799915265965772e+01 1.014787150551597739e+00 -2.333553382974250781e+03 0.000000000000000000e+00
1.099960209124180039e+02 1.043106059456834700e+01 1.025941246631672854e+00 -2.333509143191323346e+03 0.000000000000000000e+00
1.099994094167440011e+02 1.048165027762217605e+01 1.029481588039902640e+00 -2.333482356962299491e+03 0.000000000000000000e+00
1.099932764438570132e+02 9.981625992309242079e+00 1.007136548608777105e+00 -2.333455078812296051e+03 0.000000000000000000e+00
1.100057850286030146e+02 1.034101070473439954e+01 1.017932453368969314e+00 -2.333451968458013653e+03 0.000000000000000000e+00
1.100090425881342213e+02 9.835833427470923596e+00 9.907220648594043944e-01 -2.333445187312267990e+03 0.000000000000000000e+00
1.100043585883082216e+02 9.662628876033556580e+00 9.842803914440870772e-01 -2.333343394931797775e+03 0.000000000000000000e+00
1.100050620063024525e+02 1.018396995590770437e+01 1.005968700804071192e+00 -2.333310973827596627e+03 0.000000000000000000e+00
1.100074459534849751e+02 1.034876776595363346e+01 1.023342865044653216e+00 -2.333234229353912724e+03 0.000000000000000000e+00
1.099961791582510671e+02 1.002450261221686567e+01 9.958652445768230166e-01 -2.333197866281301685e+03 0.000000000000000000e+00
1.099965336376583878e+02 9.847577303924667902e+00 9.998801722647864265e-01 -2.333153290128243498e+03 0.000000000000000000e+00
1.099982720216932393e+02 9.965101699392747037e+00 9.918240759424792330e-01 -2.333145148385965967e+03 0.000000000000000000e+00
1.100060484826936857e+02 9.988127107785992109e+00 9.945357442729276798e-01 -2.333131530541202210e+03 0.000000000000000000e+00
1.099980710958677150e+02 9.728360544646669439e+00 9.912297078654300764e-01 -2.333120173215516843e+03 0.000000000000000000e+00
1.099933786784265664e+02 1.011651415382123709e+01 1.014875336513271886e+00 -2.333109600738576773e+03 0.000000000000000000e+00
1.099984172726722278e+02 1.011357421002026946e+01 1.017317192378651702e+00 -2.333075055132153466e+03 0.000000000000000000e+00
1.099909116391670523e+02 1.004814224585582849e+01 1.003854399257657626e+00 -2.333072310869029025e+03 0.000000000000000000e+00
1.100065029626689039e+02 9.729726887166211924e+00 9.878972324361930957e-01 -2.333013501686074051e+03 0.000000000000000000e+00
1.100063209062732028e+02 1.005648587272836636e+01 1.012359395687533858e+00 -2.332992954601658312e+03 0.000000000000000000e+00
1.099958009543186535e+02 9.683163435179443113e+00 9.811558170240958221e-01 -2.332978230160453677e+03 0.000000000000000000e+00
1.100013592263912443e+02 1.042415995654384275e+01 1.031248167637678348e+00 -2.332975264533245991e+03 0.000000000000000000e+00
1.099979435259232901e+02 9.656082035005757902e+00 9.839885446317370166e-01 -2.332957866290394577e+03 0.000000000000000000e+00
1.099992927402134768e+02 9.765679895057555626e+00 9.943595382754037981e-01 -2.332952173990792289e+03 0.000000000000000000e+00
1.099915838939478192e+02 9.911441220755072834e+00 9.986018534307947725e-01 -2.332937761217441221e+03 0.000000000000000000e+00
1.100065766585593678e+02 1.026751290821083629e+01 1.013461277979662123e+00 -2.332920334096122133e+03 0.000000000000000000e+00
1.100071658310453984e+02 1.028827522233688185e+01 1.016025295962455388e+00 -2.332856609932657193e+03 0.000000000000000000e+00
1.100023553955537494e+02 9.977892735461699303e+00 9.927583318780784927e-01 -2.332810059139715122e+03 0.000000000000000000e+00
1.100055645280689731e+02 9.756909818949322855e+00 9.835173943537645069e-01 -2.332779006157861659e+03 0.000000000000000000e+00
1.099934672092615955e+02 1.028142177420630254e+01 1.016234605929386747e+00 -2.332740144479629180e+03 0.000000000000000000e+00
1.100059709022264087e+02 9.853541276570560115e+00 9.988312189260034613e-01 -2.332664434511136278e+03 0.000000000000000000e+00
1.099913764211626699e+02 9.960873395685590381e+00 1.000644291704023026e+00 -2.332660858492461557e+03 0.000000000000000000e+00
1.100005537336728878e+02 1.017878383254949526e+01 1.020749784019891138e+00 -2.332656552609349092e+03 0.000000000000000000e+00
