# nu h lw logL logPrior
1.081312983493994153e+02 7.298376020724724356e+01 5.533007049577948200e-01 -3.935063750773384701e+06 0.000000000000000000e+00
1.069446499696335593e+02 4.635863889843906804e+01 4.182855995362759760e-01 -3.673783447653164156e+06 0.000000000000000000e+00
1.073334777042545625e+02 9.847573878830786498e+01 7.071805178975654194e-01 -3.426438828184436075e+06 0.000000000000000000e+00
1.172240528283781771e+02 1.734502200724607945e+01 2.234440040269535799e-01 -3.376660436957019381e+06 0.000000000000000000e+00
1.041757053240371391e+02 9.491488775434552849e+01 7.030122625655020885e-01 -3.231170440731761977e+06 0.000000000000000000e+00
1.035460253859386626e+02 3.887532807346396879e+01 3.883101424716635108e-01 -3.230421276121180970e+06 0.000000000000000000e+00
1.139955497178729615e+02 2.678870873756438087e+01 3.126115249772399851e-01 -2.937420145246137399e+06 0.000000000000000000e+00
1.123079561835858016e+02 8.504317550719305530e+01 6.981563390044939199e-01 -2.663674403557373676e+06 0.000000000000000000e+00
1.055949702676008570e+02 1.342699021630068579e+01 2.044397346005829563e-01 -2.632749167564709671e+06 0.000000000000000000e+00
1.151168409387590117e+02 6.428302670714012379e+01 5.892496373954410060e-01 -2.501127343163782265e+06 0.000000000000000000e+00
1.019287317411163656e+02 9.553340215898651877e+01 7.747395729485300198e-01 -2.456177085132338572e+06 0.000000000000000000e+00
1.039314365220059102e+02 5.966049730076375113e+01 6.036464715800329284e-01 -2.019986536849052180e+06 0.000000000000000000e+00
1.041454878731965721e+02 2.275709500294517085e+01 3.420817327823599818e-01 -1.613592013403407531e+06 0.000000000000000000e+00
1.131886230140676730e+02 6.527929335208152395e+01 6.936278433368108232e-01 -1.597924634624233237e+06 0.000000000000000000e+00
1.014863305609090958e+02 6.838809456421695643e+01 7.229882403352059228e-01 -1.547024038972719805e+06 0.000000000000000000e+00
1.133971254957225767e+02 9.421043000771398113e+01 8.982161033875657452e-01 -1.530204127303950023e+06 0.000000000000000000e+00
1.137626466620542658e+02 9.662997673567096513e+01 9.439133934396444214e-01 -1.383647080670925323e+06 0.000000000000000000e+00
1.038318935808532899e+02 5.873180259938320802e+01 6.797496974018586435e-01 -1.370235375116104493e+06 0.000000000000000000e+00
1.137338403057501779e+02 5.732659177053448474e+01 6.795938413821427382e-01 -1.306674399492656579e+06 0.000000000000000000e+00
1.080606693291869931e+02 2.070828407987074726e+01 3.666725724504455997e-01 -1.088257686511576641e+06 0.000000000000000000e+00
1.154844821552338061e+02 3.017702129320295157e+01 4.760313918574574643e-01 -1.045904591588953510e+06 0.000000000000000000e+00
1.139813902011570548e+02 8.717993896205258864e+01 9.740491215390256752e-01 -1.021846568126849714e+06 0.000000000000000000e+00
1.104012004943177487e+02 6.629927100903313431e+01 8.186600716776180064e-01 -1.002427702219534782e+06 0.000000000000000000e+00
1.173557239597125346e+02 8.270215915818650387e+01 9.522789374759352832e-01 -9.881041357440572465e+05 0.000000000000000000e+00
1.026911880911753201e+02 1.569202303577573510e+01 3.156314286964306826e-01 -9.821301501118117012e+05 0.000000000000000000e+00
1.016737419401855362e+02 9.703014200755400509e+01 1.085694053895450928e+00 -9.161972887086294359e+05 0.000000000000000000e+00
1.093666302362803862e+02 5.530121363944203949e+01 7.650370198921907505e-01 -8.552074393547236687e+05 0.000000000000000000e+00
1.042866714588517993e+02 1.855118367195761664e+01 3.743530332546018968e-01 -8.142496026637844043e+05 0.000000000000000000e+00
1.060641307804707907e+02 6.676590681729152266e+01 8.872855932421859215e-01 -7.913327230772272451e+05 0.000000000000000000e+00
1.032742755105373647e+02 6.193904294002477684e+01 8.559152378530248129e-01 -7.635320110266499687e+05 0.000000000000000000e+00
1.021512067294840307e+02 9.970866176978535123e+01 1.218864689400363632e+00 -6.845740236711144680e+05 0.000000000000000000e+00
1.071318234091446442e+02 5.658603698387387482e+01 8.372984866642962931e-01 -6.792587366538672941e+05 0.000000000000000000e+00
1.064709511456173203e+02 4.262488417297302590e+01 6.952733855471908697e-01 -6.715525388929349137e+05 0.000000000000000000e+00
1.089138566883557360e+02 3.746344592984185340e+01 6.416041408468147189e-01 -6.643251516986059723e+05 0.000000000000000000e+00
1.018916137573791900e+02 9.553309141795230630e+01 1.197788501188020494e+00 -6.615243373335697688e+05 0.000000000000000000e+00
