,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
1142,KIC3459347,5008,80,38.3,0.97,4.001,0.06,1.1957511901855469,0.05,1.5831987739686226,3.699664320202373,5.061309055686001
6719,KIC7033518,4990,80,67.47,1.15,5.9,0.044000000000000004,1.2327423095703125,0.05,1.8291107101552944,3.6981005456233897,5.061270168792514
2821,KIC4761037,5047,80,91.94,1.64,7.609,0.034,1.2496614456176758,0.05,1.9635044994142907,3.703033304733686,5.0612516128739955
3374,KIC5106376,4997,80,63.66,1.95,5.178999999999999,0.033,1.1833047866821291,0.05,1.8038666342849845,3.698709349442587,5.06102980352718
6054,KIC6669842,4818,141,32.46,0.94,3.563,0.198,1.384958267211914,0.05,1.511348515490213,3.6828667956623247,5.060191442502578
8522,KIC8082339,4712,100,30.81,0.45,3.8930000000000002,0.027000000000000003,1.2802801132202148,0.05,1.4886916983169407,3.673205281779045,5.058085067296873
14060,KIC11097749,4894,80,77.05,0.56,7.1610000000000005,0.015,1.2702932357788086,0.05,1.8867726430544383,3.6896639650157694,5.057481141895803
1447,KIC3751167,4914,80,26.14,1.59,3.592,0.121,1.3112335205078125,0.05,1.4173055832445256,3.691435152144062,5.057364295876618
2262,KIC4357090,5012,80,72.27,1.0,6.49,0.017,1.217153549194336,0.05,1.8589580547180056,3.700011062322112,5.057168484139427
11574,KIC9776739,5065,80,97.45,1.61,7.6,0.036000000000000004,1.129831314086914,0.05,1.98878184345364,3.7045794496962987,5.056637052048887
3770,KIC5340720,4995,146,94.88,0.71,8.901,0.019,1.2557878494262695,0.05,1.9771746760201876,3.6985354925620015,5.055127014138228
7635,KIC7598106,4676,137,37.46,2.19,3.9760000000000004,0.046,1.4365453720092771,0.05,1.5735677730392186,3.6698745024898014,5.0546775294251765
8383,KIC7989220,5014,80,105.58,2.75,8.174,0.027999999999999997,1.2485418319702148,0.05,2.0235816576649395,3.7001843296221977,5.054376417620719
12394,KIC10158595,4813,80,71.25,0.56,6.7120000000000015,0.018000000000000002,1.2887544631958008,0.05,1.852784868680548,3.682415861677359,5.053965857384094
15275,KIC11819758,5046,151,91.31,0.48,8.265,0.011000000000000001,1.2501039505004885,0.05,1.960518342780708,3.702947246181556,5.053739996200992
9813,KIC8748436,4971,80,85.94,1.79,6.9860000000000015,0.024,1.1922121047973633,0.05,1.9341953493478845,3.6964437631389986,5.0529028697680785
14631,KIC11442227,4831,100,27.72,1.41,3.426,0.026000000000000002,1.307307243347168,0.05,1.442793225939769,3.68403703748652,5.052613764931445
15499,KIC12008413,4956,80,79.66,0.86,7.59,0.02,1.2149543762207031,0.05,1.901240302073309,3.6951312977040263,5.052587216955229
