Unnamed: 0,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank,error_flag
7431,KIC7461851,4571,80,26.5,0.45,3.195,0.019,1.5137405395507801,0.05,1.4232458739368101,3.6600112212893303,-0.4704863960498089,0
9116,KIC8365859,5060,159,31.65,1.16,4.206,0.038,1.33188343048096,0.05,1.50037371435337,3.7041505168397997,-0.47177319628696,0
5153,KIC6118941,5228,168,116.89,0.6,10.509,0.017,1.23758697509766,0.05,2.06777735863332,3.7183355789085097,-0.474086604918663,0
7038,KIC7212148,4896,155,46.88,0.64,4.986000000000001,0.022000000000000002,1.4256076812744098,0.05,1.6709876030100301,3.6898414091375,-0.47478014065169,0
12393,KIC10158593,5013,162,32.59,0.95,4.0360000000000005,0.040999999999999995,1.3789224624633798,0.05,1.5130843604651398,3.7000977046130497,-0.47514587744804204,0
7778,KIC7673365,5140,162,46.06,0.52,5.063,0.013999999999999999,1.2493095397949199,0.05,1.6633239336282097,3.71096311899528,-0.48106430655431504,0
3675,KIC5272843,4673,80,23.68,1.44,3.347,0.03,1.3491277694702102,0.05,1.3743816980508798,3.66959578102431,-0.482471397580935,0
1337,KIC3648943,4786,80,107.31,0.91,9.094,0.018000000000000002,1.37940311431885,0.05,2.0306401948686297,3.6799726942774202,-0.48320604375371895,0
8870,KIC8233881,5337,164,211.42,1.7,16.266,0.071,1.1556396484375,0.05,2.32514606849075,3.7272972028035896,-0.48699209387334996,0
7923,KIC7751978,4663,80,21.96,0.43,3.3139999999999996,0.043,1.39348125457764,0.05,1.34163233577805,3.66866541545449,-0.48703519961121094,0
1401,KIC3733676,4763,144,107.31,0.64,9.869,0.038,1.3858346939086899,0.05,2.0306401948686297,3.67788058151159,-0.48715655361134796,1
2959,KIC4847891,4563,100,47.7,0.57,4.796,0.022000000000000002,1.45194339752197,0.05,1.6785183790401101,3.65925046877266,-0.48791795942782795,0
5757,KIC6470560,4839,80,51.35,1.25,4.896,0.065,1.4724006652831998,0.05,1.7105404479333002,3.6847556221086206,-0.490348611879384,0
2610,KIC4640930,4995,100,175.49,2.14,13.352,0.016,1.3469209671020501,0.05,2.2442523739724702,3.698535492562,-0.49217640793081896,0
5238,KIC6182668,5046,153,213.31,2.69,16.475,0.124,1.26107025146484,0.05,2.32901121570737,3.70294724618156,-0.497359794307465,1
893,KIC3236455,5221,164,24.2,0.62,3.6489999999999996,0.067,1.20999813079834,0.05,1.38381536598043,3.7177536932107205,-0.5015480417318909,1
6840,KIC7107940,4727,100,23.12,0.75,2.636,0.015,1.30691146850586,0.05,1.3639878297484898,3.67458560230291,-0.50325478521905,1
5035,KIC6037805,5163,163,29.6,0.78,3.969,0.081,1.26262283325195,0.05,1.47129171105894,3.71290212504722,-0.503550519162852,0
1781,KIC3967739,4690,143,37.67,1.26,4.353,0.027999999999999997,1.53249549865723,0.05,1.57599562020327,3.67117284271508,-0.507115924131229,0
5612,KIC6380975,4815,80,152.54,0.84,12.464,0.031,1.26979923248291,0.05,2.1833837420527,3.6825962914605497,-0.508810615420539,0
8608,KIC8111106,5067,166,131.25,0.71,11.109000000000002,0.022000000000000002,1.3499212265014602,0.05,2.11809931207799,3.70475090429067,-0.511191317488497,0
9840,KIC8760620,4972,153,48.66,0.66,5.1579999999999995,0.017,1.3602352142334,0.05,1.6871721045948003,3.69653111996961,-0.514031743664379,0
2687,KIC4667909,4793,100,139.71,0.69,11.548,0.013999999999999999,1.3077297210693402,0.05,2.14522749265239,3.68060742899179,-0.515522406594465,0
12485,KIC10219075,4764,80,134.09,0.65,11.549000000000001,0.019,1.2449264526367199,0.05,2.1273963907766102,3.6779717528107403,-0.5189270382354609,0
4586,KIC5731386,4734,152,50.3,0.35,5.406000000000001,0.016,1.5422201156616202,0.05,1.70156798505593,3.6752282535930596,-0.5199048073307029,0
7441,KIC7466616,5013,80,77.86,1.23,6.292000000000001,0.04,1.4071683883666999,0.05,1.89131439938214,3.7000977046130497,-0.520187664548643,0
14451,KIC11299274,5152,163,31.54,0.94,4.159,0.03,1.27094554901123,0.05,1.49886168899288,3.7119758543517594,-0.520893459331372,0
4165,KIC5522575,4894,80,115.88,0.72,9.885,0.016,1.15589904785156,0.05,2.0640084865317196,3.6896639650157703,-0.521040589813658,0
5590,KIC6368401,5177,167,32.47,0.43,4.16,0.038,1.24891471862793,0.05,1.511482288626,3.71407816498186,-0.522348166446025,0
9631,KIC8630454,5179,164,34.76,0.68,4.225,0.03,1.26183414459229,0.05,1.54107976777663,3.71424591101789,-0.52485615053987,0
3079,KIC4929697,4609,80,26.84,0.81,3.398,0.158,1.41622066497803,0.05,1.4287825114969501,3.66360670812452,-0.526106348584158,1
16010,KIC12520008,5177,156,41.17,0.89,4.262,0.027000000000000003,1.2300453186035198,0.05,1.61458086699749,3.71407816498186,-0.527294147970709,0
70,KIC1717783,4971,159,34.64,3.03,4.085,0.027000000000000003,1.39103412628174,0.05,1.53957788334531,3.696443763139,-0.529377885032354,0
5089,KIC6057174,5166,166,84.05,4.92,6.777,0.048,1.2578916549682602,0.05,1.9245377177754899,3.7131544018373,-0.5301774194295801,0
12582,KIC10267570,5160,165,43.79,0.63,4.6610000000000005,0.027999999999999997,1.26247692108154,0.05,1.64137494519213,3.71264970162721,-0.531395369584208,0
