KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
1576043|4133|80|1.610|0.028|0.03|0.15|1.44|0.32|31.17|2.66|1.28|0.28|29.29|2.47|1.41|0.31|30.79|2.62|1|
1576420|4594|138|2.548|0.010|-0.37|0.30|1.28|0.09|9.95|0.25|1.10|0.08|9.26|0.23|1.24|0.09|9.81|0.25|1|
1576469|5217|100|2.882|0.008|0.12|0.15|2.38|0.14|9.25|0.20|2.53|0.15|9.55|0.21|2.46|0.14|9.40|0.21|2|
1576646|4814|80|2.835|0.008|-0.07|0.15|1.50|0.09|7.74|0.16|1.38|0.08|7.44|0.16|1.51|0.09|7.79|0.17|1|
1577143|4987|141|2.461|0.014|-0.13|0.30|1.80|0.19|13.06|0.50|1.72|0.18|12.76|0.49|1.84|0.20|13.22|0.51|2|
1701763|4800|144|2.376|0.017|-0.28|0.30|1.32|0.17|12.36|0.58|1.19|0.15|11.72|0.55|1.32|0.17|12.36|0.58|2|
1717618|4876|80|2.992|0.007|0.08|0.15|1.75|0.09|6.99|0.13|1.66|0.09|6.81|0.13|1.79|0.09|7.07|0.14|1|
1717783|4971|159|2.455|0.039|0.08|0.30|1.34|0.36|11.37|1.04|1.33|0.36|11.31|1.03|1.36|0.37|11.44|1.04|2|
1717994|4875|80|2.409|0.009|-0.44|0.15|0.93|0.08|9.95|0.38|0.85|0.07|9.54|0.36|0.94|0.08|10.00|0.38|2|
1718743|4882|158|2.383|0.011|-0.63|0.30|0.91|0.08|10.19|0.33|0.82|0.07|9.64|0.31|0.91|0.08|10.17|0.33|2|
1719065|4364|152|1.891|0.021|-0.18|0.30|1.31|0.65|21.46|5.24|1.13|0.55|19.99|4.72|1.27|0.63|21.16|5.13|0|
1719297|4318|100|1.744|0.029|-0.05|0.15|1.52|0.44|27.38|3.35|1.34|0.38|25.71|3.08|1.48|0.43|27.10|3.31|1|
1719422|4923|80|3.047|0.006|-0.19|0.15|1.36|0.06|5.79|0.10|1.29|0.06|5.62|0.10|1.39|0.07|5.85|0.10|1|
1720241|4979|80|3.242|0.008|-0.12|0.15|1.32|0.08|4.55|0.10|1.28|0.08|4.48|0.10|1.34|0.08|4.58|0.10|1|
1720425|4758|100|2.355|0.011|-0.20|0.15|0.96|0.08|10.76|0.33|0.87|0.07|10.27|0.32|0.95|0.08|10.73|0.33|2|
1721071|4982|164|2.397|0.028|-0.01|0.30|1.15|0.24|11.22|0.89|1.15|0.25|11.24|0.89|1.15|0.25|11.26|0.89|2|
1721595|4971|154|3.109|0.008|-0.53|0.30|1.14|0.07|4.92|0.11|1.06|0.07|4.75|0.11|1.16|0.07|4.98|0.11|1|
1723047|4977|80|3.071|0.007|-0.08|0.15|1.54|0.09|6.00|0.12|1.48|0.08|5.88|0.12|1.57|0.09|6.05|0.12|1|
1723191|4311|150|1.863|0.059|-0.22|0.30|1.36|0.71|22.59|4.84|1.19|0.61|21.13|4.44|1.32|0.69|22.26|4.75|0|
1723656|4764|145|2.396|0.016|0.17|0.30|1.12|0.14|11.12|0.53|1.07|0.13|10.86|0.51|1.13|0.14|11.14|0.53|2|
1723700|4970|155|2.521|0.012|-0.20|0.30|1.41|0.13|10.81|0.37|1.35|0.12|10.55|0.36|1.44|0.13|10.93|0.37|2|
1723752|4963|80|3.210|0.006|-0.08|0.15|1.35|0.07|4.77|0.09|1.30|0.06|4.70|0.09|1.37|0.07|4.81|0.09|1|
1723843|4908|80|2.946|0.006|-0.20|0.15|1.42|0.07|6.64|0.12|1.33|0.07|6.42|0.12|1.45|0.07|6.71|0.12|1|
1725183|5041|165|2.592|0.017|0.18|0.30|2.51|1.14|13.28|2.95|2.58|1.18|13.47|3.01|2.59|1.18|13.49|3.02|2|
1725190|5054|80|2.912|0.009|-0.00|0.15|2.27|0.15|8.73|0.22|2.28|0.16|8.75|0.22|2.37|0.16|8.92|0.23|2|
1725552|4234|100|1.831|0.041|0.14|0.15|2.32|0.67|30.63|3.08|2.16|0.63|29.58|2.97|2.33|0.67|30.67|3.08|1|
1725626|4678|143|2.428|0.014|0.46|0.30|1.13|0.12|10.77|0.43|1.09|0.12|10.59|0.42|1.14|0.12|10.83|0.43|2|
1725796|5008|161|2.536|0.011|-0.12|0.30|1.52|0.23|11.02|0.76|1.47|0.22|10.84|0.74|1.55|0.23|11.13|0.77|2|
1725952|4697|141|2.423|0.011|0.15|0.30|1.31|0.13|11.62|0.46|1.20|0.12|11.16|0.44|1.32|0.13|11.67|0.47|2|
