KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
8377969|4880|149|2.507|0.013|-0.12|0.30|1.86|0.19|12.58|0.49|1.73|0.17|12.16|0.47|1.90|0.19|12.72|0.49|2|
8378014|5020|161|2.450|0.010|-0.40|0.30|1.23|0.14|10.94|0.53|1.17|0.13|10.67|0.51|1.25|0.14|11.05|0.54|2|
8378363|4932|155|2.603|0.016|0.04|0.30|1.86|0.25|11.28|0.60|1.78|0.24|11.04|0.58|1.91|0.25|11.42|0.61|2|
8378462|5012|80|2.872|0.008|0.10|0.15|2.47|0.16|9.52|0.24|2.50|0.16|9.58|0.24|2.55|0.17|9.68|0.25|2|
8378481|4778|80|2.700|0.006|-0.19|0.15|1.40|0.07|8.75|0.16|1.26|0.06|8.30|0.15|1.41|0.07|8.77|0.16|1|
8378545|5058|80|2.608|0.036|0.22|0.15|4.30|1.09|17.06|1.47|4.91|1.25|18.23|1.57|4.90|1.24|18.21|1.57|2|
8378653|4990|80|2.877|0.007|0.17|0.15|2.30|0.12|9.15|0.18|2.31|0.12|9.16|0.18|2.36|0.13|9.27|0.19|2|
8378675|5061|160|2.207|0.014|-0.20|0.30|0.56|0.09|9.80|0.69|0.62|0.10|10.28|0.74|0.59|0.09|10.04|0.71|2|
8379206|4807|148|2.545|0.009|-0.72|0.30|1.25|0.08|9.88|0.23|1.08|0.07|9.18|0.22|1.21|0.08|9.72|0.23|1|
8379490|4887|80|2.514|0.010|-0.08|0.15|1.37|0.11|10.71|0.32|1.29|0.10|10.42|0.31|1.39|0.11|10.79|0.32|2|
8379613|4728|80|2.721|0.007|-0.28|0.15|1.23|0.06|8.00|0.15|1.08|0.05|7.51|0.14|1.21|0.06|7.95|0.15|1|
8379961|4851|147|2.504|0.029|0.10|0.30|1.85|0.40|12.60|0.97|1.75|0.37|12.25|0.94|1.89|0.40|12.74|0.98|2|
8380242|4798|80|2.468|0.009|0.02|0.15|1.28|0.11|10.94|0.40|1.20|0.10|10.59|0.39|1.29|0.11|11.00|0.41|2|
8380282|4982|161|2.459|0.015|-0.54|0.30|1.25|0.14|10.93|0.43|1.16|0.13|10.52|0.41|1.28|0.14|11.05|0.44|2|
8380496|4833|153|2.376|0.014|-0.34|0.30|0.83|0.16|9.78|0.87|0.77|0.15|9.44|0.83|0.83|0.16|9.81|0.87|2|
8381246|4703|80|2.844|0.008|0.42|0.15|1.72|0.10|8.22|0.18|1.59|0.10|7.90|0.17|1.72|0.10|8.22|0.18|1|
8381442|4505|157|2.402|0.014|0.28|0.30|1.19|0.31|11.37|1.41|1.06|0.27|10.73|1.30|1.19|0.31|11.36|1.41|2|
8381505|4354|80|1.824|0.034|0.03|0.15|1.79|0.47|27.14|2.58|1.60|0.42|25.68|2.42|1.77|0.46|26.97|2.56|1|
8381622|5016|164|2.993|0.009|-0.65|0.30|1.22|0.08|5.83|0.13|1.13|0.07|5.62|0.13|1.25|0.08|5.90|0.13|1|
8381865|4967|152|2.427|0.030|-0.07|0.30|1.06|0.29|10.44|1.18|1.06|0.29|10.44|1.18|1.07|0.29|10.47|1.18|2|
8382339|4838|80|2.560|0.011|0.20|0.15|1.68|0.16|11.28|0.43|1.60|0.15|11.00|0.42|1.72|0.16|11.39|0.44|2|
8385961|4608|80|2.626|0.008|0.20|0.15|1.31|0.08|9.22|0.20|1.19|0.07|8.78|0.19|1.32|0.08|9.26|0.20|1|
8386283|4955|80|3.055|0.008|-0.10|0.15|1.54|0.09|6.09|0.13|1.47|0.08|5.95|0.12|1.56|0.09|6.15|0.13|1|
8386337|4696|80|2.698|0.007|0.17|0.15|1.59|0.08|9.34|0.17|1.46|0.07|8.96|0.17|1.61|0.08|9.41|0.18|1|
8386344|4827|168|2.400|0.010|-0.76|0.30|1.27|0.09|11.80|0.31|1.10|0.08|10.98|0.28|1.24|0.09|11.62|0.30|1|
8386537|4756|80|2.386|0.014|-0.15|0.15|1.05|0.11|10.87|0.43|0.96|0.10|10.38|0.41|1.05|0.11|10.87|0.43|2|
8386625|4918|144|2.851|0.009|-0.51|0.30|2.38|0.16|9.60|0.24|2.25|0.15|9.32|0.23|2.40|0.16|9.64|0.24|2|
8386719|4910|171|2.775|0.010|-0.62|0.30|1.42|0.10|8.09|0.20|1.28|0.09|7.67|0.19|1.43|0.10|8.12|0.20|1|
8386921|4658|80|2.338|0.016|0.15|0.15|1.12|0.13|11.86|0.48|1.03|0.12|11.37|0.46|1.12|0.13|11.88|0.48|2|
8387412|4181|80|1.696|0.034|0.25|0.15|1.43|0.35|28.16|2.33|1.25|0.30|26.32|2.18|1.41|0.34|27.91|2.31|1|
8387668|4889|148|3.274|0.009|-0.21|0.30|1.10|0.07|4.01|0.09|1.04|0.07|3.90|0.09|1.11|0.07|4.02|0.09|1|
8387890|4688|164|2.627|0.033|-0.30|0.30|1.36|0.33|9.39|0.84|1.19|0.29|8.79|0.78|1.34|0.33|9.31|0.83|2|
8388250|4413|129|2.389|0.017|0.08|0.30|1.53|0.20|13.10|0.64|1.36|0.18|12.32|0.60|1.52|0.20|13.03|0.64|1|
8388399|4997|80|2.870|0.008|0.16|0.15|2.38|0.15|9.39|0.22|2.41|0.15|9.43|0.22|2.45|0.16|9.52|0.23|2|
8388814|5059|170|3.209|0.011|-0.47|0.30|1.01|0.09|4.13|0.14|0.99|0.09|4.09|0.14|1.03|0.09|4.17|0.15|1|
8388920|4802|143|2.568|0.011|0.05|0.30|1.60|0.13|10.89|0.31|1.49|0.12|10.52|0.30|1.62|0.13|10.97|0.31|2|
8389200|4878|80|2.650|0.020|0.32|0.15|2.44|0.36|12.24|0.65|2.44|0.36|12.24|0.65|2.51|0.37|12.41|0.66|2|
8389387|4621|80|2.240|0.014|-0.19|0.15|1.51|0.17|15.46|0.67|1.34|0.15|14.56|0.62|1.50|0.17|15.37|0.67|0|
8389938|4579|134|2.455|0.023|0.34|0.30|1.47|0.31|11.89|1.05|1.34|0.28|11.35|0.99|1.48|0.31|11.92|1.06|2|
8390612|4953|147|2.570|0.011|-0.27|0.30|1.62|0.13|10.93|0.32|1.52|0.12|10.59|0.31|1.66|0.14|11.07|0.32|2|
8390838|4891|142|2.628|0.011|0.06|0.30|1.78|0.14|10.72|0.30|1.69|0.13|10.45|0.29|1.83|0.14|10.85|0.30|2|
8391175|4807|80|2.853|0.007|0.03|0.15|1.65|0.09|7.97|0.16|1.54|0.09|7.69|0.16|1.68|0.09|8.04|0.16|1|
8391532|4897|80|2.666|0.009|0.12|0.15|1.80|0.12|10.32|0.24|1.72|0.11|10.09|0.24|1.84|0.12|10.44|0.24|2|
8391545|4885|80|3.108|0.006|-0.01|0.15|1.30|0.07|5.28|0.10|1.25|0.06|5.17|0.10|1.32|0.07|5.31|0.10|1|
8393874|4909|149|3.100|0.008|-0.35|0.30|1.32|0.08|5.35|0.12|1.21|0.07|5.14|0.11|1.34|0.08|5.39|0.12|1|
8393914|4773|145|2.409|0.015|-0.58|0.30|0.99|0.11|10.29|0.41|0.85|0.09|9.54|0.38|0.95|0.11|10.10|0.40|2|
8394035|4958|80|2.791|0.009|0.21|0.15|2.23|0.16|9.94|0.27|2.21|0.16|9.90|0.27|2.28|0.16|10.07|0.27|2|
8394175|4745|80|2.981|0.007|0.25|0.15|1.25|0.07|5.98|0.12|1.18|0.06|5.82|0.11|1.25|0.07|5.99|0.12|1|
8394497|4980|80|2.794|0.011|0.01|0.15|2.04|0.19|9.49|0.36|1.98|0.19|9.35|0.36|2.09|0.20|9.61|0.37|2|
8395153|4687|80|2.573|0.008|0.21|0.15|1.69|0.10|11.12|0.25|1.56|0.10|10.68|0.23|1.72|0.11|11.22|0.25|1|
8395466|5129|80|2.759|0.017|0.00|0.15|2.91|0.35|11.80|0.49|3.10|0.37|12.16|0.51|3.11|0.38|12.19|0.51|2|
8396782|4996|80|2.838|0.008|0.09|0.15|2.12|0.13|9.19|0.21|2.09|0.13|9.12|0.21|2.18|0.13|9.31|0.21|2|
8397081|4948|80|2.761|0.009|0.24|0.15|2.63|0.17|11.18|0.26|2.68|0.18|11.27|0.27|2.71|0.18|11.34|0.27|2|
8408920|4189|80|1.721|0.014|-0.22|0.15|0.91|0.12|21.84|1.12|0.76|0.09|19.88|0.99|0.89|0.11|21.49|1.09|1|
8408974|4768|100|2.355|0.012|-0.36|0.30|0.79|0.08|9.78|0.37|0.71|0.07|9.27|0.35|0.79|0.08|9.76|0.37|2|
8408976|5120|145|2.328|0.013|-0.50|0.30|1.10|0.13|11.92|0.59|1.09|0.13|11.84|0.58|1.13|0.13|12.04|0.59|2|
8409525|5081|148|3.241|0.008|-0.17|0.30|1.24|0.08|4.42|0.10|1.24|0.08|4.42|0.10|1.25|0.08|4.44|0.10|1|
8409750|5245|154|3.234|0.008|-0.17|0.30|1.45|0.09|4.82|0.11|1.49|0.09|4.88|0.11|1.48|0.09|4.86|0.11|1|
8409758|5262|161|3.224|0.009|-0.31|0.30|1.12|0.07|4.28|0.10|1.16|0.08|4.36|0.10|1.13|0.07|4.30|0.10|1|
8409771|5202|154|3.010|0.008|-0.29|0.30|1.18|0.07|5.63|0.12|1.21|0.07|5.70|0.13|1.20|0.07|5.67|0.13|1|
8409983|4809|100|2.422|0.014|0.19|0.30|1.07|0.11|10.55|0.38|1.05|0.11|10.44|0.38|1.08|0.11|10.56|0.38|2|
8410006|4675|100|2.399|0.008|-0.19|0.30|1.16|0.07|11.28|0.26|1.02|0.06|10.59|0.24|1.15|0.07|11.21|0.26|1|
8410413|4979|147|2.465|0.011|-0.64|0.30|1.31|0.10|11.08|0.31|1.20|0.09|10.61|0.29|1.34|0.11|11.21|0.31|1|
8410437|4643|100|2.675|0.008|0.08|0.30|1.29|0.08|8.64|0.18|1.16|0.07|8.21|0.17|1.30|0.08|8.66|0.18|1|
8410529|4699|100|2.396|0.010|-0.20|0.30|1.07|0.08|10.84|0.30|0.94|0.07|10.20|0.28|1.06|0.08|10.79|0.30|2|
8410679|4834|100|2.285|0.021|-0.84|0.30|0.69|0.22|9.90|1.47|0.59|0.18|9.17|1.31|0.68|0.21|9.86|1.46|2|
8410770|4836|100|2.563|0.008|-1.01|0.30|1.12|0.06|9.15|0.19|0.94|0.05|8.40|0.18|1.07|0.06|8.95|0.19|1|
8410818|4996|100|2.552|0.013|-0.46|0.30|1.58|0.15|11.03|0.37|1.48|0.14|10.66|0.35|1.63|0.15|11.18|0.37|2|
8410890|4695|100|2.455|0.009|-0.30|0.30|1.22|0.08|10.85|0.26|1.07|0.07|10.15|0.24|1.20|0.08|10.75|0.25|1|
8411053|4894|100|2.353|0.012|-0.64|0.30|0.86|0.09|10.20|0.46|0.77|0.08|9.70|0.43|0.86|0.09|10.22|0.46|2|
8411296|5118|179|1.973|0.028|-0.68|0.30|0.92|0.22|16.43|1.55|0.91|0.22|16.33|1.54|0.93|0.22|16.52|1.56|0|
8411446|5244|157|2.381|0.017|-0.34|0.30|0.93|0.15|10.31|0.67|0.98|0.16|10.55|0.69|0.94|0.15|10.36|0.68|2|
8411792|5020|144|2.555|0.009|-0.58|0.30|1.23|0.08|9.70|0.23|1.15|0.08|9.38|0.22|1.26|0.08|9.83|0.24|1|
8414303|5239|153|2.958|0.008|-0.53|0.30|1.56|0.10|6.86|0.15|1.55|0.10|6.85|0.15|1.61|0.10|6.97|0.15|1|
8414340|4847|100|2.947|0.007|-0.26|0.30|1.22|0.06|6.14|0.12|1.12|0.06|5.88|0.11|1.23|0.06|6.16|0.12|1|
8414512|4836|100|2.432|0.015|0.18|0.15|1.13|0.12|10.72|0.41|1.11|0.12|10.61|0.40|1.14|0.12|10.74|0.41|2|
8414518|4927|80|2.662|0.010|0.17|0.15|2.30|0.17|11.73|0.31|2.28|0.17|11.66|0.31|2.36|0.17|11.88|0.31|2|
8414815|4889|100|2.397|0.010|-0.45|0.30|1.14|0.14|11.21|0.60|1.04|0.12|10.68|0.56|1.15|0.14|11.25|0.60|2|
8415501|4740|100|2.414|0.009|-0.35|0.30|1.63|0.10|13.11|0.30|1.44|0.09|12.35|0.28|1.61|0.10|13.03|0.30|1|
8415616|4526|100|1.840|0.052|-0.32|0.30|0.74|0.30|17.10|2.60|0.61|0.25|15.58|2.33|0.73|0.30|17.02|2.59|1|
8415729|4555|100|2.704|0.007|0.13|0.30|1.42|0.08|8.79|0.18|1.27|0.07|8.31|0.17|1.43|0.08|8.79|0.18|1|
8416447|4842|80|2.760|0.007|-0.35|0.15|1.37|0.07|8.08|0.15|1.24|0.06|7.68|0.14|1.38|0.07|8.10|0.15|1|
8417027|4959|148|2.412|0.010|-0.81|0.30|1.16|0.08|11.12|0.29|1.05|0.08|10.57|0.27|1.17|0.08|11.16|0.29|1|
8417113|5165|147|3.291|0.009|-0.39|0.30|1.05|0.07|3.84|0.09|1.07|0.07|3.87|0.09|1.06|0.07|3.87|0.09|1|
8417184|4301|80|1.899|0.018|-0.19|0.15|1.42|0.19|22.18|1.05|1.25|0.16|20.80|0.98|1.38|0.18|21.88|1.03|1|
8417711|4862|80|2.492|0.013|-0.04|0.15|1.36|0.15|10.97|0.46|1.29|0.14|10.66|0.45|1.38|0.15|11.05|0.47|2|
8418027|5043|146|2.999|0.008|-0.94|0.30|1.15|0.07|5.63|0.12|1.07|0.06|5.42|0.11|1.16|0.07|5.64|0.12|1|
8418309|4847|80|2.973|0.006|-0.04|0.15|1.27|0.06|6.09|0.11|1.20|0.06|5.92|0.10|1.28|0.06|6.12|0.11|1|
8418352|5018|175|3.128|0.010|0.26|0.30|1.24|0.09|5.03|0.12|1.27|0.09|5.09|0.13|1.24|0.09|5.03|0.12|1|
8418615|5075|157|3.266|0.009|0.29|0.30|1.27|0.08|4.34|0.10|1.31|0.08|4.41|0.10|1.27|0.08|4.34|0.10|1|
8420770|4839|143|2.430|0.010|0.24|0.30|1.31|0.11|11.57|0.38|1.27|0.11|11.39|0.37|1.32|0.11|11.61|0.38|2|
8420829|4946|146|2.593|0.009|-0.27|0.30|1.27|0.09|9.41|0.23|1.19|0.08|9.14|0.22|1.28|0.09|9.48|0.23|1|
8420916|4909|144|2.800|0.009|0.17|0.30|1.48|0.09|8.02|0.18|1.43|0.09|7.90|0.18|1.50|0.10|8.08|0.19|1|
8420954|5027|152|2.849|0.009|-0.04|0.30|1.47|0.09|7.57|0.17|1.45|0.09|7.50|0.17|1.50|0.10|7.62|0.17|1|
8422647|5093|178|3.074|0.009|0.04|0.30|1.45|0.10|5.80|0.13|1.47|0.10|5.83|0.14|1.47|0.10|5.84|0.14|1|
8422693|5154|180|2.408|0.016|-0.23|0.30|0.87|0.13|9.66|0.60|0.92|0.14|9.90|0.62|0.88|0.13|9.71|0.60|2|
8423171|5078|80|2.868|0.008|-0.06|0.15|2.15|0.13|8.94|0.21|2.14|0.13|8.92|0.21|2.23|0.14|9.10|0.21|2|
8423426|4648|80|2.619|0.007|0.03|0.15|1.44|0.08|9.74|0.20|1.30|0.07|9.24|0.19|1.45|0.08|9.76|0.20|1|
8423708|4843|80|3.079|0.006|0.17|0.15|1.34|0.06|5.54|0.10|1.29|0.06|5.43|0.10|1.35|0.06|5.57|0.10|1|
8423770|5167|158|2.317|0.019|-0.27|0.30|1.04|0.15|11.74|0.63|1.07|0.16|11.91|0.65|1.05|0.15|11.79|0.64|2|
8423836|5096|157|2.387|0.014|-0.09|0.30|1.00|0.13|10.60|0.56|1.04|0.13|10.80|0.58|1.00|0.13|10.62|0.57|2|
8424298|4862|80|3.117|0.007|0.11|0.15|1.38|0.07|5.38|0.10|1.32|0.07|5.26|0.10|1.40|0.07|5.41|0.10|1|
8424345|5324|179|3.128|0.016|0.19|0.30|2.09|0.24|6.54|0.27|2.26|0.26|6.79|0.28|2.15|0.25|6.62|0.28|1|
8424501|5343|159|3.201|0.010|-0.23|0.30|1.64|0.12|5.32|0.13|1.70|0.12|5.43|0.14|1.68|0.12|5.38|0.14|1|
8424590|5004|155|2.410|0.011|-0.00|0.30|1.12|0.11|10.95|0.45|1.14|0.12|11.02|0.46|1.13|0.11|10.99|0.45|2|
8424785|4773|80|2.368|0.011|-0.35|0.15|0.99|0.11|10.80|0.51|0.88|0.10|10.18|0.47|0.98|0.11|10.74|0.51|2|
8425211|5170|157|3.216|0.009|0.07|0.30|1.51|0.10|5.01|0.12|1.55|0.10|5.08|0.13|1.53|0.10|5.05|0.13|1|
8425420|4975|151|2.593|0.009|-0.44|0.30|1.30|0.09|9.56|0.24|1.22|0.08|9.23|0.23|1.34|0.09|9.67|0.24|1|
8425507|4675|80|2.604|0.008|0.07|0.15|1.42|0.08|9.83|0.21|1.29|0.08|9.37|0.20|1.43|0.08|9.87|0.22|1|
8425633|4915|147|2.741|0.008|-0.11|0.30|1.39|0.09|8.31|0.18|1.32|0.08|8.09|0.18|1.41|0.09|8.37|0.19|1|
8425933|4745|143|2.439|0.015|0.31|0.30|1.29|0.16|11.35|0.56|1.23|0.15|11.06|0.54|1.29|0.16|11.37|0.56|2|
8426672|4959|80|3.206|0.006|0.03|0.15|1.39|0.07|4.87|0.09|1.36|0.07|4.81|0.09|1.41|0.07|4.90|0.09|1|
8426743|4901|80|2.533|0.009|-0.18|0.15|1.60|0.11|11.35|0.30|1.50|0.11|10.96|0.28|1.64|0.12|11.46|0.30|2|
8426868|4477|130|2.192|0.009|0.17|0.30|1.34|0.13|15.36|0.64|1.18|0.11|14.44|0.59|1.33|0.13|15.32|0.64|1|
8426901|4920|149|2.532|0.019|0.15|0.30|1.74|0.26|11.83|0.66|1.67|0.25|11.62|0.64|1.78|0.26|11.96|0.66|2|
8428095|4826|80|2.668|0.007|0.07|0.15|1.90|0.11|10.57|0.22|1.79|0.10|10.25|0.21|1.94|0.11|10.69|0.22|1|
8428638|5042|155|2.423|0.013|-0.46|0.30|1.16|0.12|10.97|0.42|1.11|0.11|10.73|0.41|1.19|0.12|11.08|0.42|2|
8429285|5082|154|3.096|0.008|-0.50|0.30|1.17|0.07|5.07|0.11|1.13|0.07|4.98|0.11|1.20|0.07|5.13|0.12|1|
8429299|5142|159|2.438|0.018|-0.29|0.30|1.12|0.15|10.61|0.53|1.14|0.16|10.69|0.53|1.14|0.16|10.67|0.53|2|
8429471|4967|150|2.436|0.019|-0.03|0.30|1.33|0.30|11.57|1.19|1.30|0.29|11.43|1.17|1.35|0.31|11.65|1.20|2|
8429700|4906|150|2.458|0.011|0.01|0.30|1.93|0.15|13.58|0.37|1.84|0.14|13.25|0.36|1.98|0.15|13.76|0.37|1|
8429977|5052|155|3.038|0.008|-0.21|0.30|1.44|0.09|6.02|0.13|1.40|0.09|5.93|0.13|1.47|0.09|6.09|0.14|1|
8430504|4602|80|2.662|0.009|0.29|0.15|1.51|0.12|9.51|0.31|1.38|0.11|9.08|0.30|1.53|0.12|9.56|0.32|1|
8431063|4743|80|2.648|0.009|-0.03|0.15|1.91|0.13|10.84|0.27|1.75|0.12|10.38|0.25|1.92|0.13|10.90|0.27|1|
8431083|5043|155|3.009|0.008|-0.23|0.30|1.24|0.08|5.77|0.13|1.21|0.08|5.71|0.13|1.25|0.08|5.80|0.13|1|
8431241|4695|80|2.396|0.011|0.06|0.15|1.04|0.10|10.70|0.39|0.96|0.09|10.29|0.37|1.04|0.10|10.72|0.39|2|
8431479|4801|80|2.708|0.007|0.15|0.15|1.72|0.09|9.62|0.20|1.62|0.09|9.33|0.19|1.76|0.10|9.73|0.20|1|
8431695|4790|80|2.690|0.007|-0.25|0.15|1.34|0.07|8.67|0.16|1.21|0.06|8.22|0.15|1.35|0.07|8.68|0.16|1|
8431875|4962|80|2.361|0.009|-0.94|0.15|1.13|0.08|11.65|0.29|1.02|0.07|11.04|0.27|1.13|0.08|11.64|0.29|1|
8431946|4786|144|2.371|0.014|-0.33|0.30|1.60|0.22|13.68|0.80|1.43|0.19|12.92|0.74|1.59|0.22|13.64|0.79|2|
8432219|4891|80|2.550|0.011|0.04|0.15|1.61|0.13|11.15|0.33|1.53|0.13|10.88|0.32|1.63|0.13|11.24|0.33|2|
8432239|4722|80|2.612|0.008|0.30|0.15|1.84|0.11|11.11|0.23|1.73|0.10|10.76|0.23|1.87|0.11|11.20|0.24|1|
8432800|4820|80|3.040|0.006|0.03|0.15|1.18|0.06|5.44|0.10|1.12|0.05|5.31|0.09|1.19|0.06|5.46|0.10|1|
8432910|5170|180|3.169|0.009|-0.39|0.30|1.38|0.09|5.06|0.12|1.37|0.09|5.04|0.12|1.42|0.10|5.13|0.12|1|
8435651|4954|156|2.368|0.012|-0.07|0.30|1.16|0.12|11.70|0.50|1.14|0.12|11.60|0.49|1.17|0.12|11.73|0.50|2|
8440248|4908|80|3.098|0.006|0.05|0.15|1.31|0.06|5.36|0.09|1.27|0.06|5.28|0.09|1.33|0.06|5.39|0.09|1|
8440367|4919|152|2.557|0.011|0.09|0.30|1.70|0.14|11.36|0.35|1.63|0.13|11.13|0.34|1.74|0.14|11.48|0.35|2|
8440983|4832|146|2.561|0.012|0.38|0.30|1.72|0.15|11.39|0.35|1.66|0.14|11.17|0.34|1.75|0.15|11.47|0.35|2|
8441160|4139|80|1.700|0.031|-0.11|0.15|1.67|0.82|30.26|6.97|1.53|0.73|28.89|6.52|1.66|0.80|30.09|6.92|1|
8441683|4597|80|2.544|0.007|0.02|0.15|1.26|0.07|9.94|0.21|1.12|0.06|9.37|0.19|1.26|0.07|9.93|0.21|1|
8443193|4817|150|2.426|0.016|-0.11|0.30|1.12|0.13|10.71|0.46|1.04|0.12|10.35|0.44|1.12|0.13|10.74|0.46|2|
8445172|5209|171|3.267|0.010|-0.44|0.30|1.28|0.09|4.35|0.11|1.29|0.09|4.37|0.11|1.31|0.09|4.41|0.11|1|
8445641|4758|144|2.852|0.009|0.15|0.30|1.60|0.10|7.87|0.18|1.49|0.09|7.59|0.17|1.63|0.10|7.93|0.18|1|
8445814|4587|80|2.284|0.008|-0.25|0.15|1.32|0.08|13.70|0.32|1.15|0.07|12.80|0.30|1.29|0.08|13.56|0.32|1|
8446353|4017|140|1.613|0.014|0.34|0.30|1.40|0.33|30.56|3.45|1.22|0.28|28.59|3.13|1.37|0.32|30.30|3.41|0|
8447092|5033|176|3.051|0.009|-0.10|0.30|1.30|0.09|5.63|0.13|1.29|0.08|5.60|0.13|1.32|0.09|5.67|0.13|1|
8450413|4490|157|2.151|0.020|-0.28|0.30|1.73|0.71|18.31|3.65|1.54|0.62|17.30|3.36|1.70|0.70|18.13|3.60|0|
8451486|4776|80|3.020|0.006|-0.13|0.15|1.10|0.05|5.36|0.09|1.01|0.05|5.14|0.09|1.10|0.05|5.37|0.09|1|
8452238|4647|162|2.698|0.030|-0.12|0.30|1.44|0.34|8.91|0.79|1.28|0.30|8.40|0.74|1.44|0.34|8.88|0.79|1|
8453896|4782|80|2.941|0.006|-0.20|0.15|1.12|0.05|5.93|0.11|1.02|0.05|5.65|0.10|1.12|0.05|5.94|0.11|1|
8454209|4425|80|2.063|0.024|0.10|0.15|1.86|0.31|20.99|1.21|1.67|0.28|19.91|1.14|1.85|0.31|20.93|1.21|1|
8456687|4676|136|2.372|0.027|0.56|0.30|1.01|0.39|10.86|1.97|0.96|0.37|10.59|1.90|0.99|0.38|10.75|1.94|2|
8457086|4615|161|2.557|0.054|-0.02|0.30|1.81|1.10|11.71|3.18|1.62|0.97|11.11|2.95|1.81|1.10|11.73|3.18|2|
8458124|4783|80|3.093|0.006|0.32|0.15|1.40|0.07|5.56|0.10|1.34|0.06|5.44|0.09|1.41|0.07|5.58|0.10|1|
8458459|4826|80|3.229|0.006|0.03|0.15|1.17|0.06|4.35|0.08|1.11|0.05|4.25|0.08|1.18|0.06|4.36|0.08|1|
8458519|4696|80|2.391|0.009|0.14|0.15|1.01|0.07|10.62|0.26|0.95|0.06|10.29|0.25|1.01|0.07|10.63|0.26|2|
8458954|4728|80|3.031|0.006|0.39|0.15|1.28|0.06|5.72|0.10|1.22|0.06|5.58|0.10|1.28|0.06|5.71|0.10|1|
8459085|4953|80|3.202|0.006|0.04|0.15|1.33|0.06|4.80|0.09|1.31|0.06|4.75|0.09|1.35|0.06|4.83|0.09|1|
8460470|4821|156|2.935|0.009|-0.43|0.30|1.23|0.08|6.26|0.14|1.10|0.07|5.91|0.13|1.23|0.08|6.25|0.14|1|
8460634|4857|80|2.462|0.013|-0.19|0.15|1.19|0.13|10.63|0.45|1.11|0.12|10.25|0.43|1.20|0.13|10.66|0.45|2|
8460684|5132|172|2.594|0.011|-0.11|0.30|1.78|0.15|11.14|0.35|1.76|0.15|11.10|0.35|1.82|0.15|11.28|0.35|2|
8461359|4582|160|2.397|0.036|-0.16|0.30|2.34|0.59|16.06|1.36|2.17|0.54|15.47|1.31|2.34|0.58|16.03|1.35|2|
8461449|4968|80|2.673|0.011|0.07|0.15|2.15|0.17|11.18|0.31|2.11|0.17|11.07|0.31|2.20|0.17|11.32|0.32|2|
8461659|5032|80|2.684|0.011|0.16|0.15|2.59|0.22|12.14|0.40|2.67|0.23|12.32|0.41|2.68|0.23|12.35|0.41|2|
8462775|4832|80|2.463|0.027|0.02|0.15|1.15|0.65|10.44|2.87|1.10|0.62|10.20|2.77|1.16|0.66|10.47|2.89|2|
8462934|4962|80|2.777|0.007|0.26|0.15|2.29|0.13|10.25|0.22|2.30|0.13|10.26|0.22|2.34|0.13|10.36|0.22|2|
8463380|4040|80|2.555|0.015|0.00|0.30|1.15|0.17|9.36|0.57|0.98|0.14|8.66|0.52|1.11|0.16|9.21|0.56|1|
8474506|4770|100|2.497|0.007|-0.25|0.30|1.28|0.07|10.58|0.22|1.15|0.06|10.01|0.21|1.28|0.07|10.57|0.22|1|
8474915|5069|148|3.072|0.008|-0.56|0.30|1.13|0.07|5.13|0.11|1.08|0.06|5.02|0.11|1.16|0.07|5.19|0.11|1|
8474990|4809|100|2.268|0.017|0.26|0.30|1.61|0.22|15.43|0.79|1.53|0.21|15.05|0.77|1.64|0.22|15.56|0.80|0|
8475025|4937|100|2.966|0.007|-1.16|0.30|1.50|0.08|6.68|0.13|1.34|0.07|6.30|0.12|1.37|0.07|6.38|0.12|1|
8475164|4775|100|2.409|0.010|-0.29|0.30|1.03|0.09|10.50|0.34|0.92|0.08|9.94|0.31|1.02|0.09|10.46|0.33|2|
8475511|4548|100|2.011|0.011|-0.55|0.30|1.18|0.10|17.77|0.55|1.01|0.08|16.42|0.50|1.13|0.09|17.37|0.53|1|
8475684|5043|147|3.133|0.008|-0.84|0.30|1.13|0.07|4.78|0.10|1.05|0.06|4.61|0.10|1.16|0.07|4.83|0.10|1|
8475844|5014|147|2.355|0.015|-0.42|0.30|1.15|0.15|11.78|0.63|1.09|0.14|11.51|0.61|1.17|0.15|11.89|0.63|2|
8475872|4984|100|2.424|0.009|-1.00|0.30|1.12|0.08|10.75|0.31|1.01|0.07|10.21|0.29|1.12|0.08|10.73|0.31|2|
8476117|5271|157|3.308|0.009|-0.66|0.30|1.03|0.07|3.73|0.09|1.06|0.07|3.78|0.09|1.05|0.07|3.77|0.09|1|
8476202|4755|100|2.946|0.008|-0.12|0.30|1.45|0.08|6.71|0.14|1.31|0.07|6.38|0.13|1.46|0.08|6.73|0.14|1|
8476554|4547|80|2.665|0.008|0.13|0.15|1.27|0.08|8.67|0.19|1.13|0.07|8.17|0.18|1.26|0.08|8.67|0.19|1|
8478478|4441|80|2.140|0.017|-0.21|0.15|1.03|0.12|14.30|0.60|0.88|0.11|13.18|0.55|1.00|0.12|14.11|0.59|1|
8478550|4710|100|2.417|0.010|-0.21|0.30|1.03|0.09|10.41|0.36|0.92|0.08|9.81|0.33|1.02|0.09|10.36|0.36|2|
