ID,Teff,Teff_err,dnu,dnu_err,numax,numax_err,bp_rp,eps,eps_err,eps_mod
9291249,4736.0,100.0,4.617,0.014,45.56,0.88,1.3532114,1.0860861101810668,0.013380819257959193,1.0860861101810668
9291830,5006.0,100.0,4.421,0.017,47.18,1.11,1.2220096999999999,0.9945317507446936,0.018861741051380373,0.9945317507446936
9291976,4753.0,100.0,3.887,0.027000000000000003,31.5,0.85,1.3319979,0.6664717473483998,0.025242200096489247,0.6664717473483998
9292408,4822.0,100.0,3.536,0.021,27.34,0.63,1.384284,0.5874738121889984,0.027584917270072992,0.5874738121889984
9327993,4740.0,100.0,3.978,0.031,33.79,0.71,1.3399496000000002,0.6829773762375516,0.02467783444503984,0.6829773762375516
9328135,4745.0,100.0,5.787000000000001,0.013,56.48,0.61,1.321207,1.0862972894288003,0.010226894151675915,1.0862972894288003
9328682,5226.0,100.0,4.72,0.07400000000000001,48.7,1.1,1.1371222,1.2317111082275949,0.011566240123783005,1.2317111082275949
9329058,4977.0,100.0,4.548,0.021,41.65,0.72,1.1874113000000002,0.7360741366110246,0.021746416379261217,0.7360741366110246
9329200,4717.0,100.0,6.823,0.016,75.26,0.81,1.3020802,1.1108487234755258,0.0074087989589535315,1.1108487234755258
9332840,4966.0,100.0,4.422,0.031,39.99,1.1,1.2812986000000002,0.6290794238742662,0.01992476420333948,0.6290794238742662
9333184,4986.0,100.0,4.077,0.017,32.41,0.49,1.2214451000000002,0.701871258310752,0.021708378510051432,0.701871258310752
9333290,4662.0,100.0,2.963,0.014,24.42,0.39,1.3908234,1.0378516727283191,0.01528423899695836,1.0378516727283191
9333501,4794.0,100.0,3.491,0.012,27.72,0.56,1.277875,1.0017232383638175,0.01484601573584507,1.0017232383638175
9335518,4966.0,100.0,9.101,0.013,103.96,0.66,1.3145142,1.1755868239917442,0.007040673758362706,1.1755868239917442
9335570,4947.0,100.0,4.227,0.024,36.59,0.72,1.2003384,0.9566538120343792,0.01460612204617395,0.9566538120343792
9336090,4990.0,100.0,4.064,0.03,34.09,0.77,1.2196893999999998,0.965992936914904,0.010999557314269487,0.965992936914904
9346602,4974.0,100.0,5.1320000000000014,0.027000000000000003,55.59,0.91,1.1854753,1.0264368064489198,0.01230507108975356,1.0264368064489198
9350031,4792.0,100.0,5.752000000000002,0.015,53.12,0.56,1.3065863000000002,1.0816262974063315,0.007605304699252613,1.0816262974063315
9350701,4924.0,80.0,5.814,0.037000000000000005,61.51,0.59,1.2413243999999999,1.0336972953991308,0.01020884676784078,1.0336972953991308
9351186,4750.0,100.0,3.854,0.034,34.21,0.62,1.338584,0.7254165074113699,0.02773847919917892,0.7254165074113699
9351617,5078.0,100.0,4.385,0.019,40.81,1.86,1.2952042,0.9684083096351326,0.01534512174373291,0.9684083096351326
9353187,5103.0,100.0,6.705,0.037000000000000005,78.97,1.12,1.1845856000000001,1.0421347831895322,0.013976013484861759,1.0421347831895322
9353531,4882.0,100.0,3.892,0.09,29.79,0.72,1.2753954,0.6999746128982087,0.0312621019248948,0.6999746128982087
9390293,4798.0,100.0,3.77,0.043,31.94,0.65,1.3404961000000002,0.673491716310582,0.031685402268618934,0.673491716310582
9392039,5012.0,100.0,4.093,0.028,36.41,0.6,1.1957302,0.7580226150839884,0.02388990672316286,0.7580226150839884
9395535,4597.0,100.0,2.939,0.015,22.97,0.26,1.3394622999999999,1.0045088048438695,0.014057426852495128,1.0045088048438695
9396363,4825.0,100.0,4.622,0.019,43.78,0.64,1.2191267,0.9924026220660442,0.013076348353602905,0.9924026220660442
9405269,4938.0,100.0,4.186,0.038,37.24,0.89,1.3115673,0.7205064294995429,0.021355301262942987,0.7205064294995429
9405480,4587.0,100.0,2.741,0.01,22.73,0.37,1.455019,0.7167257994527716,0.027622525138712804,0.7167257994527716
9405555,4625.0,100.0,2.52,0.013,18.21,0.28,1.3977671,0.6330784911964811,0.02824545080622122,0.6330784911964811
9406415,5328.0,100.0,5.199,0.017,58.14,0.78,1.1450481000000001,0.9999455023577823,0.014679162737409587,0.9999455023577823
9406596,4861.0,100.0,4.066,0.045,34.26,0.81,1.3233489999999999,0.6657379502938684,0.0244253646107767,0.6657379502938684
9406638,4920.0,100.0,4.418,0.013,38.47,0.6,1.2446594,1.2100974307151466,0.007326109068576838,1.2100974307151466
9408361,5132.0,100.0,5.274,0.021,61.7,1.59,1.2085438,1.0108357568380613,0.0151041790563706,1.0108357568380613
9408590,4902.0,100.0,4.589,0.037000000000000005,45.16,0.74,1.2135544,0.9809141262768066,0.012978296542631352,0.9809141262768066
9409513,5232.0,100.0,6.025,0.037000000000000005,70.83,0.91,1.1389265,1.0329217550938412,0.01587057489647298,1.0329217550938412
9411366,5067.0,100.0,4.955,0.025,49.09,1.18,1.2217712,1.0302851743279886,0.01584989519859694,1.0302851743279886
9414068,4615.0,100.0,1.633,0.014,10.27,0.48,1.4502163000000001,1.4728561961863529,0.03258250993623352,1.4728561961863529
9450786,5029.0,100.0,3.646,0.046,28.09,0.86,1.191925,0.9756933726337514,0.015238485723638303,0.9756933726337514
9451434,4832.0,100.0,3.644,0.048,26.97,0.62,1.2908306,0.6253394433772288,0.028725973900851718,0.6253394433772288
9451999,5144.0,100.0,4.2010000000000005,0.043,35.26,0.72,1.1493176999999999,0.726251438677302,0.0270927500987619,0.726251438677302
9453362,5125.0,100.0,4.19,0.044,34.63,0.7,1.1590633,0.9734961998134988,0.015585414455070654,0.9734961998134988
9456153,5222.0,100.0,4.147,0.021,33.59,0.58,1.1609373,0.707811233463697,0.025482857559697068,0.707811233463697
9456478,4545.0,100.0,2.572,0.015,19.73,0.41,1.3854017,0.9517880302009359,0.016279281272107538,0.9517880302009359
9469165,4997.0,100.0,3.891,0.069,27.8,0.64,1.2085228000000001,0.6217438185607174,0.01922218035259589,0.6217438185607174
9470276,4940.0,100.0,7.039,0.014,75.91,0.77,1.2802858,1.1090412795515772,0.008496006786430395,1.1090412795515772
9471284,4924.0,100.0,4.379,0.027000000000000003,41.28,0.93,1.3053827,0.7183891066349575,0.020892560147306,0.7183891066349575
9472076,4917.0,100.0,10.116,0.016,124.3,0.72,1.2463026000000001,1.1932142084144988,0.007222709911008544,1.1932142084144988
9472481,5102.0,100.0,5.474,0.055,61.19,0.76,1.1685486,0.9981087944245656,0.01734978176264745,0.9981087944245656
9475697,4839.0,100.0,9.823,0.015,115.2,0.84,1.2420683000000001,1.1821965626590931,0.0069694849928218176,1.1821965626590931
9479404,5213.0,100.0,6.999,0.023,85.18,1.55,1.2604246000000001,1.0274431343070491,0.014766753836951087,1.0274431343070491
9511938,4752.0,100.0,4.938,0.01,48.53,0.59,1.3649426000000002,1.070043616598466,0.01097197619590483,1.070043616598466
9517542,4678.0,100.0,2.7060000000000004,0.014,20.76,0.66,1.3588037,0.9558191781967688,0.01484534801872853,0.9558191781967688
9518506,4937.0,100.0,5.001,0.035,50.71,0.57,1.1675606,1.0005040256132658,0.012537286451441587,1.0005040256132658
9521461,5000.0,100.0,5.382999999999999,0.016,57.84,0.54,1.1958923000000001,1.0300664840909295,0.013770395863036015,1.0300664840909295
9529974,4925.0,100.0,4.105,0.026,32.54,0.48,1.2982512,0.5946864293855756,0.02496118527023913,0.5946864293855756
9532518,4921.0,100.0,4.051,0.048,31.51,1.39,1.228035,0.5728178884321383,0.03865547798647855,0.5728178884321383
9534934,4930.0,100.0,5.233,0.014,47.21,0.53,1.2269068,1.0622524371773596,0.0071312411186719455,1.0622524371773596
9535050,5270.0,100.0,4.5280000000000005,0.034,45.42,0.97,1.1501207,0.7460434687404072,0.02152441285837604,0.7460434687404072
9535399,4798.0,100.0,5.76,0.011,57.57,0.51,1.3634901000000001,1.0744797101825183,0.008167391036051469,1.0744797101825183
9536330,4700.0,100.0,2.718,0.009000000000000001,22.31,0.63,1.3810148000000002,1.0197283065647065,0.01493071481192881,1.0197283065647065
9540226,4760.0,100.0,3.192,0.026,27.39,1.54,1.3965206000000001,0.9955123548261898,0.012865396442212877,0.9955123548261898
9542218,4698.0,100.0,5.779,0.016,57.43,0.5,1.4435453,1.0757877004332157,0.009894203997393892,1.0757877004332157
9574650,5049.0,100.0,9.595,0.015,106.66,0.57,1.1507758999999997,0.6283529332106839,0.009457801079931672,0.6283529332106839
9574730,4965.0,100.0,4.822,0.04,47.64,0.67,1.2181540000000002,0.9872640678949364,0.014933711504023174,0.9872640678949364
9579328,4663.0,136.0,3.861,0.026,33.52,0.88,1.3995895,0.6186746422936337,0.021132407768145102,0.6186746422936337
9579860,4760.0,100.0,5.88,0.015,55.73,0.6,1.2609491000000002,1.0684071672278534,0.009434097587259058,1.0684071672278534
