KICID|kepmag|Length_Quarters|Length_days|numax|numax_err|dnu|dnu_err|amplitude|amplitude_err|fwhm|fwhm_err|maxbg|maxbg_err|
   3121155|   13.33| 18|  1318.2|   31.39|    0.53|   4.073|   0.065|   98.2|    4.5|   12.2|    1.4|   3237.4|    250.6|
   3121340|   13.58| 18|  1318.2|   21.59|    0.42|   3.299|   0.037|  206.7|   11.1|    9.1|    1.2|  21767.3|   1698.1|
   3121427|   12.91| 18|  1318.2|  158.52|    0.87|  13.426|   0.020|   42.0|    1.8|   40.4|    1.9|     51.9|      9.9|
   3121940|   11.94| 18|  1318.2|   28.14|    0.54|   3.741|   0.046|  150.9|    6.6|   11.8|    1.2|   6543.3|    447.4|
   3121983|   13.71| 17|  1308.7|    7.35|    0.28|   1.274|   0.013|  473.1|   55.4|    2.8|    0.4| 235801.8|  20152.1|
   3122000|   12.31| 10|   704.4|   27.91|    0.76|   3.733|   0.059|  139.0|    7.8|   10.2|    1.4|   9539.2|    605.2|
   3122185|   11.18| 17|  1308.7|   99.99|    1.48|   7.842|   0.049|   24.6|    2.1|   31.1|    3.7|    151.6|     27.8|
   3122548|   12.62|  9|   642.1|   35.05|    0.95|   4.136|   0.091|  100.7|    4.5|   14.1|    1.1|   2799.1|    299.1|
   3123206|   11.37| 17|  1235.8|   33.00|    0.81|   4.065|   0.047|  110.8|    4.7|   13.7|    1.3|   3875.6|    235.3|
   3123372|   13.97|  6|   457.9|   53.37|    0.61|   5.471|   0.015|   68.5|    4.0|   19.6|    2.3|   1017.1|    170.0|
   3123653|   13.02| 17|  1308.7|   97.50|    0.84|   9.096|   0.018|   59.1|    2.2|   30.6|    1.2|    128.0|     17.7|
