ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err
8677701,4596,100,31.32,0.55,3.64,0.013999999999999999,1.3782024383544922,0.05
8677973,5268,165,28.03,0.46,3.841,0.109,1.2098636627197266,0.05
8678018,4872,80,32.43,0.46,4.145,0.028999999999999998,1.2355432510375977,0.05
8678536,4792,142,47.64,0.54,5.178,0.018000000000000002,1.3822832107543945,0.05
8678638,5063,148,188.26,1.13,14.654000000000002,0.051,1.2284088134765625,0.05
8680868,4894,171,32.72,0.38,4.1530000000000005,0.019,1.1755657196044922,0.05
8681180,4998,174,60.31,2.73,6.53,0.262,1.1853017807006836,0.05
8681186,5172,160,30.69,0.43,4.016,0.040999999999999995,1.2228765487670898,0.05
8681270,5158,162,170.38,1.65,13.034,0.032,1.2508373260498047,0.05
8681501,5069,155,22.08,0.77,2.694,0.048,1.2659597396850586,0.05
8681506,4946,150,51.05,0.48,5.525,0.013999999999999999,1.3106365203857422,0.05
8681963,4884,80,246.48,1.62,17.915,0.034,1.2204923629760742,0.05
8682462,4843,80,31.48,1.24,3.928,0.033,1.2543153762817383,0.05
8682591,4868,80,34.48,1.01,4.136,0.156,1.2887954711914062,0.05
8682716,4971,149,32.34,0.74,4.138,0.035,1.3197746276855469,0.05
8683589,4447,80,16.66,0.34,2.355,0.013999999999999999,1.3854646682739258,0.05
8683779,4808,80,37.41,2.28,4.301,0.17,1.2287235260009766,0.05
8684542,4830,80,176.79,1.12,13.386,0.023,1.267019271850586,0.05
8684860,4980,80,162.43,1.41,12.402000000000001,0.018000000000000002,1.117995262145996,0.05
8685978,4746,80,49.53,0.51,5.444,0.015,1.2804136276245117,0.05
8686058,4891,80,44.59,0.83,4.665,0.038,1.2291240692138672,0.05
8686316,5010,159,112.8,0.7,9.775,0.018000000000000002,1.3274106979370117,0.05
8686389,4566,80,22.27,0.76,2.9330000000000003,0.034,1.4183483123779297,0.05
8686861,4717,135,33.67,0.48,3.687,0.127,1.4053611755371094,0.05
8686904,4860,80,121.2,0.7,10.355,0.017,1.3223743438720703,0.05
8687248,4901,80,165.99,1.59,13.065,0.032,1.309412956237793,0.05
8687929,4368,152,11.68,0.77,1.807,0.132,1.6362714767456055,0.05
8688421,5085,80,154.45,1.13,12.187999999999999,0.015,1.1699419021606445,0.05
8689270,4765,80,163.96,0.87,13.206,0.034,1.2779350280761719,0.05
8689478,4399,153,6.19,0.27,1.0090000000000001,0.023,1.7779741287231445,0.05
8689494,4944,173,104.28,1.26,9.515,0.094,1.2685556411743164,0.05
8689522,4964,80,35.06,0.63,4.118,0.057999999999999996,1.2183809280395508,0.05
8689599,4922,80,31.16,0.51,4.04,0.062,1.255021095275879,0.05
8689860,4273,80,9.0,0.28,1.3840000000000001,0.032,1.6380681991577148,0.05
8689935,4977,152,63.57,0.41,6.349,0.013000000000000001,1.2916173934936523,0.05
8690009,4637,80,28.97,0.74,3.612,0.02,1.3921775817871094,0.05
8692596,5023,158,17.16,0.58,2.6180000000000003,0.036000000000000004,1.3411378860473633,0.05
8692797,5131,152,218.4,1.24,17.378,0.045,1.1804485321044922,0.05
8693004,4801,100,35.26,0.72,3.66,0.013999999999999999,1.3502607345581055,0.05
8693018,5212,100,89.83,0.93,7.2989999999999995,0.039,1.2078475952148438,0.05
8693057,5118,156,121.46,0.79,10.935,0.016,1.223097801208496,0.05
8694070,5369,185,33.66,0.42,4.863,0.149,1.0768232345581055,0.05
8694096,4874,150,30.57,0.7,3.937,0.08900000000000001,1.4081106185913086,0.05
8694481,4657,80,37.02,0.55,3.8539999999999996,0.011000000000000001,1.4098854064941406,0.05
8694617,4976,156,99.65,0.52,9.068999999999999,0.018000000000000002,1.3608932495117188,0.05
8694920,5145,160,88.91,1.39,8.078,0.013000000000000001,1.2255258560180664,0.05
8695243,4678,80,33.51,0.68,4.059,0.044000000000000004,1.4289464950561523,0.05
8696035,4935,80,29.15,1.56,4.007,0.07400000000000001,1.2262449264526367,0.05
8697068,4575,80,51.22,0.66,5.51,0.016,1.3773069381713867,0.05
8701081,4694,80,54.82,0.79,5.67,0.017,1.4213933944702148,0.05
8701893,4903,80,44.43,0.87,4.754,0.039,1.332498550415039,0.05
8702290,4949,159,42.11,0.89,4.337,0.024,1.4001760482788086,0.05
8702709,4958,154,107.99,0.49,9.904,0.021,1.3457422256469727,0.05
8702863,4847,80,143.74,1.26,11.472000000000001,0.011000000000000001,1.3117294311523438,0.05
8702999,5007,154,42.67,1.25,4.626,0.142,1.3231115341186523,0.05
8703041,4922,80,101.0,1.04,7.735,0.016,1.29718017578125,0.05
8703146,4925,80,122.44,1.24,10.276,0.013999999999999999,1.321162223815918,0.05
8703777,4698,164,37.43,0.67,4.261,0.076,1.3920183181762695,0.05
8707667,4787,80,35.45,0.69,3.9130000000000003,0.034,1.4774112701416016,0.05
8708536,5017,80,104.33,1.43,7.921,0.031,1.2480573654174805,0.05
8708587,4730,153,28.09,0.96,3.275,0.025,1.4680671691894531,0.05
8708650,5036,80,80.08,1.05,6.776,0.027999999999999997,1.2617826461791992,0.05
8708654,4989,80,55.26,1.39,5.391,0.02,1.3138008117675781,0.05
8709951,4450,155,21.31,0.52,2.8289999999999997,0.018000000000000002,1.6401891708374023,0.05
8710304,4616,161,51.6,1.74,5.246,0.40700000000000003,1.542984962463379,0.05
8711042,4426,154,18.42,0.44,2.4130000000000003,0.015,1.7746553421020508,0.05
8718745,4769,80,128.4,0.84,11.338,0.022000000000000002,1.2417583465576172,0.05
8733649,5145,148,146.69,4.46,11.512,0.02,1.1462020874023438,0.05
8733697,4958,150,212.27,1.24,16.096,0.037000000000000005,1.3018665313720703,0.05
8733892,4170,83,5.24,0.13,1.012,0.031,1.5522756576538086,0.05
8733894,4956,148,48.23,0.39,5.188,0.018000000000000002,1.2897634506225586,0.05
8733928,5056,176,119.23,1.16,10.759,0.04,1.1959648132324219,0.05
8736290,5085,148,62.24,0.55,6.358,0.017,1.1848382949829102,0.05
8736415,4551,100,7.44,0.39,1.357,0.067,1.4559602737426758,0.05
