ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
KIC7825677,1.6460402865195,0.694700520380123,3.71011736511182,1.27773475646973,1.05669981382261,-0.163814740519021,-1.81044366976132,1.00550926912028,0.768486575382089,-1.05284798182104,1.60525106329508,3.89213634493907,5.02235460555407,1.06912240223678,4.3124667055091,,,,,,,,
KIC7826053,1.8512452850647,0.837179033125047,3.68385720540035,1.26887512207031,1.12462879563451,-0.04126546158357,-1.92162430346148,1.06947315369759,0.984602874815558,-0.920541813846839,1.87804153447709,4.79253203037557,4.84635979736447,1.32084871484045,4.31694258933192,,,,,,,,69.5999999999995
KIC7826107,2.3423493383329,1.20101714559543,3.68547301972276,1.37235450744629,1.36065334839909,0.285637239578865,-2.72423407785408,1.41433947149489,1.22088295887956,-0.880425617740263,2.31353021625882,2.45707437542319,4.34739122216628,1.72980928501255,3.54614168740169,,,,,,,,85.2
KIC7826360,1.49685555070404,0.599461952061757,3.70260284134043,1.31960678100586,0.849718655150708,-0.299137267410377,-1.77214781850127,0.413630931740926,0.740833774135284,-0.972628110632625,1.52625053323207,4.38727890466005,5.40720881012332,0.986119712368877,3.67971208940869,,,,,,,,288.799999999998
KIC7826833,1.62593520682608,0.650377762503801,3.69897000433602,1.31296730041504,0.902141489747721,-0.195012880428992,-1.79429489144926,0.593653339292057,0.858220510730012,-0.896037388031012,1.60813553202717,4.0300753513573,5.10623827945684,1.07719112363473,4.08290143452734,,,,,,,,284.100000000002
KIC7827064,2.0392732970468,0.991546246136024,3.70782556833223,1.31066513061523,1.20983649471787,0.104396429477792,-2.29231089760684,1.28065481392385,1.04742169091973,-0.920541405791367,2.04320279633804,4.87217812432425,4.71554450365372,1.4404371394592,3.86627363683928,,,,,,,,79.1999999999995
KIC7827177,1.47593575235619,0.577184572946224,3.7098633174404,1.28627586364746,0.69780976656204,-0.438519802232775,-1.95055076636915,0.442400856237945,0.73664606327668,-0.837478209058596,1.4713545309108,4.02019343006048,5.38659441447989,0.978659761556446,4.07486409558497,,,,,,,,291.399999999998
KIC7829819,1.56479340211773,0.631665635983988,3.70901541697212,1.27338600158691,0.94131154945217,-0.161688608976809,-1.77226711967998,0.561995568450476,0.792026530445555,-0.857979349083033,1.5988992651328,4.05840330519723,5.07890375587467,1.1027161682167,4.21816437589828,,,,,,,,294.999999999997
KIC7830749,2.08124754822709,0.987822264664386,3.70808081046823,1.29816246032715,1.19968624787462,0.08105860424979,-2.04913268161162,1.06246739069616,1.16715123998277,-0.806917056863787,2.07928004628147,4.54321160790031,4.46830532648269,1.50543932762397,4.19381056388065,,,,,,,,
KIC7831228,1.42646723045843,0.523353989502067,3.67089495352021,1.36391830444336,0.926579518462062,-0.315315955961062,-2.32587477491068,1.01945745735133,0.516576964354384,-1.17636008622846,1.45443896932678,4.18925938280434,5.31412474859623,0.88642738829801,4.0098015611173,,,,,,,,
KIC7831249,1.52133075660797,0.605398319035762,3.69196510276736,1.42181205749512,0.977114455286292,-0.216172855877832,-1.74156128872859,0.505774387741769,0.80281768193524,-0.981900832382581,1.54596097455178,4.16745375075492,5.28880018169094,1.02204501629956,4.02674618790481,,,,,,,,281.400000000001
KIC7831285,2.36541796654814,1.24599449305002,3.70009770461305,1.32479095458984,1.37593361190827,0.348968944251474,-2.68529029324448,1.072781864588,1.28382240160946,-0.782823709898204,2.35677798186056,3.98570563141221,4.34744236612934,1.76399989733689,3.04736000510314,,,,,,,,
