ID,teff,teff_error,dnu,dnu_error,numax,numax_error,bp_rp,eps,eps_error,eps_mod
6101471,4939,100,9.173,0.021,105.7,0.7,1.2210026,1.15244513006521,0.010076365808011,1.15244513006521
6103934,5003,100,8.4,0.012,99.8,1.15,1.1994944,1.13450076554521,0.007921010467904,1.13450076554521
6104786,4996,100,13.901,0.033,167.96,0.67,1.1909494,1.21551072662701,0.008929492638904,1.21551072662701
6117517,4734,80,10.076,0.015,118.59,0.81,1.2922649,1.19380968340829,0.007544346602992,1.19380968340829
6181896,5075,100,6.477,0.014,70.59,0.82,1.1930122,1.06048413193544,0.010099029969213,1.06048413193544
6185790,4656,100,4.672,0.013,42.51,0.56,1.3575611,1.03594789877557,0.01262038879563,1.03594789877557
6188215,5203,100,8.739,0.024,112.3,1.1,1.1498804,1.13194579438152,0.017434337934928,1.13194579438152
6191288,4827,100,3.173,0.015,25.31,0.42,1.3395138,0.68875256309221,0.020516392493144,0.68875256309221
6192043,5228,100,8.451,0.023,110.28,1.16,1.1722078,1.09431298132684,0.009873665512731,1.09431298132684
6192431,4641,100,4.137,0.05,35.1,0.69,1.3523912,0.657900161225596,0.022757699608674,0.657900161225596
6262706,4915,100,5.696,0.017,59.31,0.69,1.258234,1.06027478057438,0.015195542157956,1.06027478057438
6262867,4571,100,3.75,0.014,30.48,0.5,1.3626966,1.0244400355352,0.013277849041355,1.0244400355352
6263410,5064,100,8.299,0.032,106.17,1.08,1.189229,1.1049124663491,0.011420396440549,1.1049124663491
6264398,5031,100,4.025,0.022,31.49,0.66,1.302372,0.637906340635997,0.025063067744881,0.637906340635997
6271732,5020,100,4.054,0.024,32,0.85,1.2197924,0.751086728731194,0.022445691671461,0.751086728731194
6273063,4670,100,3.667,0.021,31.64,0.86,1.4083633,0.745105627933902,0.020939562808129,0.745105627933902
6343222,4741,100,7.355,0.016,78.34,0.6,1.3833771,1.109950297406,0.006600648292061,1.109950297406
6345474,4629,100,4.137,0.029,32.97,0.67,1.3602953,0.985216917315034,0.017331648379986,0.985216917315034
6346443,4860,100,4.239,0.031,36.11,0.89,1.2911491,0.664829830009215,0.025940282026545,0.664829830009215
