# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.229936947336204067e+00 2.345959448154707250e+00 1.360002224070257615e+00 3.530133978481028167e-01 -2.301208982264541625e+00 1.374328855580718489e+00 1.346020570239863545e+00 -7.829735723461573871e-01 3.700282338600076493e+00 1.243192994534885187e+00 -1.726020468700520496e+03 -6.620647029231906622e+00
1.230433561706938628e+00 2.353950220086346246e+00 1.342760059744287915e+00 3.508883895908979089e-01 -2.317327269029052061e+00 1.288707829855352482e+00 1.312311881514503842e+00 -6.519134938579348448e-01 3.698223671598132700e+00 1.155633443687950068e+00 -1.725979922022636174e+03 -6.553621955501236052e+00
1.229784673515871507e+00 2.352092120370780304e+00 1.360479938413967416e+00 3.461771255261464897e-01 -2.184248778975818261e+00 1.196998211974178883e+00 1.353805899188032846e+00 -6.840535497561298639e-01 3.693073940365791508e+00 1.295490790867939612e+00 -1.725943948701549743e+03 -7.733517511549758972e+00
1.230045762661450270e+00 2.345582694711913163e+00 1.351114621460711263e+00 3.325144584652445223e-01 -2.169085157143007425e+00 1.299212846753249107e+00 1.354629107553871004e+00 -7.098981393215552105e-01 3.702708585131312624e+00 1.245398822790493298e+00 -1.725788022580403094e+03 -6.634652514348911012e+00
1.230375119161598141e+00 2.347324099736741054e+00 1.340710553022893770e+00 3.468367642188280309e-01 -2.159070945857673784e+00 1.249977629995929762e+00 1.326816840069206638e+00 -6.972615457727102672e-01 3.694880793501309046e+00 1.239817679224499480e+00 -1.725745153486756408e+03 -4.482254777775770194e+00
1.230938374944276603e+00 2.348224043421866636e+00 1.327907727853808062e+00 3.354555871409757861e-01 -2.379421227291081742e+00 1.324327471710530002e+00 1.354522985254280165e+00 -6.644940159536716351e-01 3.699672437157736304e+00 1.254915147648555163e+00 -1.725625488396254468e+03 -8.354342121987258452e+00
1.230646954690820749e+00 2.354575126578936306e+00 1.335765401859053236e+00 3.394358741169766214e-01 -2.213126985703231409e+00 1.256457169965734755e+00 1.375048108245540579e+00 -6.654986242944589403e-01 3.700369081956721207e+00 1.191803295462137813e+00 -1.725563580770881345e+03 -5.301312110373904929e+00
1.229576484669254288e+00 2.348224492037621847e+00 1.368583808962256398e+00 3.423444845817086302e-01 -2.352097533249381645e+00 1.237757347814659736e+00 1.345645922261460736e+00 -6.751894748686221304e-01 3.698056329958993693e+00 1.182496626630127334e+00 -1.725526011455576281e+03 -5.406531144472069172e+00
1.230810492387829358e+00 2.346527618033492413e+00 1.326295707362143528e+00 3.487115111663394162e-01 -2.161004346954825905e+00 1.380259701599183320e+00 1.372353816315110331e+00 -7.207672600168857358e-01 3.698333659293183473e+00 1.230185416051803760e+00 -1.725495447782365318e+03 -6.281025952419618363e+00
1.231033059012936581e+00 2.349225039994698339e+00 1.324299787141834051e+00 3.537501720628833390e-01 -2.112479971525754063e+00 1.192023332289986026e+00 1.377013302673822936e+00 -6.545247661413116091e-01 3.694738100294780114e+00 1.148279957751330516e+00 -1.725481582708920541e+03 -5.850906718009703411e+00
1.230203939561783200e+00 2.348452051849234223e+00 1.344940232027613591e+00 3.418521670882031516e-01 -2.209394958795751762e+00 1.402498466911861197e+00 1.333517510125493022e+00 -7.546690936100715064e-01 3.695950363413563533e+00 1.189200713190808445e+00 -1.725461919590675052e+03 -4.192200155908633263e+00
