# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.226623882625631490e+00 2.349647118329965423e+00 1.379136186268118403e+00 3.198483601168690127e-01 -2.673872502312852006e+00 2.748868547895508829e-01 1.246575325888878982e+00 -8.639482671765639221e-01 3.703560937561599875e+00 1.193290903012354187e+00 -1.957191118750018632e+03 -3.605821127557006012e+00
1.241688434360427307e+00 2.349806505704760795e+00 1.355672172039130707e+00 3.389983344840251100e-01 -2.992375584053154292e+00 4.081574269811832217e-02 1.321605728575652838e+00 -8.423064043340512397e-01 3.707576388900161835e+00 1.190807523033475146e+00 -1.956948955540160796e+03 -1.822116331959826141e+01
1.217543565602870581e+00 2.346479696859022912e+00 1.309769310939462361e+00 3.275635736548242471e-01 -2.353085607796284950e+00 4.876901863963962747e-01 1.253979152362675320e+00 -8.819820530682791482e-01 3.704052246889476319e+00 1.202052542177068473e+00 -1.956320185578793826e+03 -1.249115019661858206e+01
1.210395771826070277e+00 2.344601794385869908e+00 1.380829335101904309e+00 2.824963651198303394e-01 -2.131131498506874777e+00 1.226614845197350867e+00 1.379135492685273912e+00 -8.265548922828915845e-01 3.699730511753180018e+00 1.224240156155702808e+00 -1.956259255527224468e+03 -7.883763979761711838e+00
1.228676989142708287e+00 2.340317555115554615e+00 1.350766416812245518e+00 3.332013649421665669e-01 -2.423774406582550167e+00 3.913667224371364384e-01 1.336592012541258478e+00 -6.771229233985734952e-01 3.708463534986043530e+00 1.130999529233041700e+00 -1.956234791626766764e+03 -3.772353712076513155e+00
1.237630153278313827e+00 2.348277632041362306e+00 1.346492411285072022e+00 3.800681794800349067e-01 -2.243737567070758665e+00 6.266616897459478253e-01 1.313586447284688763e+00 -8.354959418928364911e-01 3.699110431684499822e+00 1.251928645808066065e+00 -1.956213576572394231e+03 -5.025625159403295683e+00
1.220469281457572164e+00 2.349951808201357295e+00 1.339035869495899700e+00 3.178037587985378942e-01 -2.622405751704387278e+00 7.369941068075933632e-01 1.230094760027590217e+00 -8.655831751293853182e-01 3.699976449304976267e+00 1.365266162514437331e+00 -1.956195083891522700e+03 -4.318353523283211537e+00
1.211194363147630071e+00 2.342165017590719156e+00 1.330313939519268684e+00 3.053066354542774419e-01 -2.476868041816508992e+00 3.764680695496877560e-01 1.320445752813584228e+00 -7.511147156022247584e-01 3.699534378376504673e+00 1.275896913768914231e+00 -1.955624935705311600e+03 -2.923594273770777630e+00
1.210986347467859270e+00 2.347131707770491627e+00 1.372459408238409395e+00 2.969503096009971643e-01 -2.532291356644567948e+00 4.856408900544779139e-01 1.298198550911022986e+00 -8.117323341955039462e-01 3.702863076739408843e+00 1.224249979096636354e+00 -1.955266141532678375e+03 -1.532779145450291924e+00
1.233090356592592585e+00 2.348989617163437682e+00 1.321723437028590409e+00 3.499861331320174296e-01 -2.523946306308361809e+00 5.402353057792010915e-01 1.243478003669785226e+00 -8.056897629444788045e-01 3.703693221596101370e+00 1.326448362313867646e+00 -1.955088957058339247e+03 -5.341817744984244776e+00
1.221907829633855025e+00 2.351773841019954681e+00 1.388019158132138609e+00 3.112139982727314402e-01 -2.666308267472410787e+00 5.934946031518995718e-02 1.348962736315090893e+00 -7.232715557942412943e-01 3.708135687391648450e+00 1.162861050220744596e+00 -1.954834846454043827e+03 -4.503284657216665821e+00
