# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.228675357291557191e+00 2.337235850324582032e+00 1.344332014319904900e+00 3.309995754059068540e-01 -2.613142935983617132e+00 1.276027973420987394e+00 1.259353160713121422e+00 -8.080052448372282425e-01 3.703350413889334725e+00 1.298414050252356899e+00 -2.668540254221710347e+04 2.106993084826694584e+01
1.233355300136812494e+00 2.349184410635874354e+00 1.352786463731602939e+00 3.252104660376117784e-01 -2.963269592835811928e+00 1.399983687151196143e+00 1.298684079255693957e+00 -9.276065811869722566e-01 3.696477533171676821e+00 1.252290787748616463e+00 -2.664949666522813641e+04 2.142793612836259243e+01
1.226450542624445417e+00 2.340821038174626612e+00 1.377341031431758234e+00 3.331820103257566168e-01 -2.210610254142911124e+00 1.144591177118959857e+00 1.249881173781530963e+00 -7.414062548065224467e-01 3.706425271244813135e+00 1.337323099748864097e+00 -2.663542221070624146e+04 1.959338567839690626e+01
1.226623920904033715e+00 2.355198365640182256e+00 1.369651754107093389e+00 3.246092583001500276e-01 -2.595047866556994709e+00 1.812400270856216133e+00 1.368728537371990184e+00 -8.453372279641394593e-01 3.704679779257074479e+00 1.284711479851775362e+00 -2.663081483573796504e+04 1.448350251691900326e+01
1.232892273353305423e+00 2.338261340276178490e+00 1.362576561981951206e+00 3.237077891098931737e-01 -2.221002590227311835e+00 1.168804477736807845e+00 1.282899632020397807e+00 -7.962165871688980934e-01 3.705206531991130703e+00 1.181215753051551021e+00 -2.662770942269644001e+04 2.134545600365962059e+01
1.232694983836953639e+00 2.339507221805768200e+00 1.343819415167775810e+00 3.167914333597762755e-01 -2.230140234081186446e+00 1.176982764292387129e+00 1.304892066202067102e+00 -6.108414246363378375e-01 3.707166233312346737e+00 1.169462443795495021e+00 -2.659727769997951327e+04 2.116535766803444218e+01
1.228209022307424902e+00 2.338827820942241065e+00 1.366071368180872048e+00 3.727887589694306447e-01 -2.322607966696469184e+00 1.735093525368516021e+00 1.301833796092848328e+00 -9.201153941055437713e-01 3.692130872507724426e+00 1.194276044361123557e+00 -2.658228192298522845e+04 2.030344670095017179e+01
1.231596082517571134e+00 2.346153774746318810e+00 1.361648697462500612e+00 3.340669845235074153e-01 -2.127836602988206760e+00 1.641927382672131452e+00 1.327879471533124356e+00 -8.235061125013590777e-01 3.704925870934576260e+00 1.206321044249039520e+00 -2.658022716952062183e+04 2.160967400579443876e+01
1.227228050631920864e+00 2.343328528233409980e+00 1.382390071031715628e+00 3.189645411140273890e-01 -2.926419902129396622e+00 1.537923797004990378e+00 1.215059118815278838e+00 -8.246315298566925245e-01 3.701390547773033113e+00 1.259923774292489806e+00 -2.657423398741648998e+04 1.925971774496472122e+01
1.227110400765280662e+00 2.351134641531232639e+00 1.355898588634889324e+00 3.417593040899132295e-01 -2.860459394204223127e+00 1.609392521927230923e+00 1.276207268784053772e+00 -8.587572853301459475e-01 3.703731170002068307e+00 1.147112238363333869e+00 -2.656906152375324746e+04 2.073796932634269297e+01
