# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.230603739449029010e+00 2.344774648594715849e+00 1.340130554554398223e+00 3.488995854025104815e-01 -2.219845879808140854e+00 1.454961192722652674e+00 1.309942187905500877e+00 -6.858497966348345853e-01 3.704159643385355860e+00 1.173934616030168687e+00 -2.290809602628112407e+04 2.430024912923192204e+01
1.230750849064992547e+00 2.344559292370688386e+00 1.334095805310143268e+00 3.454710183703016413e-01 -2.180953491891044926e+00 1.408542987873238506e+00 1.278639099431824189e+00 -6.093038464151067091e-01 3.697400146756250283e+00 1.174544065703983842e+00 -2.290808852503886010e+04 2.551219315952581468e+01
1.230840710170429952e+00 2.346059862721754374e+00 1.332888921999347609e+00 3.458235714883504675e-01 -2.208387022842165148e+00 1.429223594446473733e+00 1.296696684464130112e+00 -6.159928309334102847e-01 3.700149699959813798e+00 1.219281695104778462e+00 -2.290802501255222523e+04 2.729619697458379335e+01
1.230663450034969131e+00 2.342927255287517330e+00 1.336770619937185822e+00 3.462131565814223211e-01 -2.178478014759437809e+00 1.427689367369252338e+00 1.314633445321882865e+00 -6.697988165133774707e-01 3.702504683895371240e+00 1.162711985996237596e+00 -2.290793968982675506e+04 2.430000260227349784e+01
1.230619282442526830e+00 2.343551903293792815e+00 1.337363619936219994e+00 3.387208284375733958e-01 -2.138689592564584352e+00 1.457399665751040629e+00 1.302621292558646449e+00 -6.572636741911624947e-01 3.693619214308998089e+00 1.151651487319345080e+00 -2.290756381762530145e+04 2.352882430221913523e+01
1.230812733961037964e+00 2.345178428947354288e+00 1.332333871407067161e+00 3.529373662173866943e-01 -2.143585034904392561e+00 1.451070553333950741e+00 1.296283601166536847e+00 -6.157145254764575526e-01 3.704878284220127327e+00 1.180586098075516732e+00 -2.290740868509735083e+04 2.692873026602622133e+01
1.230717287431581042e+00 2.344006025438107432e+00 1.335675865829039077e+00 3.447531339173151022e-01 -2.171255107030307219e+00 1.392747279332518628e+00 1.317601447950554672e+00 -6.039876435123698872e-01 3.698087649044790481e+00 1.179643310148543289e+00 -2.290735246840460968e+04 2.641097564038228285e+01
1.230946726894009968e+00 2.348132959425062616e+00 1.329298495079754394e+00 3.518128799823239672e-01 -2.198191532823403627e+00 1.342068683495536652e+00 1.329075928603828505e+00 -5.979819889738300365e-01 3.700791304443911134e+00 1.218979035464075711e+00 -2.290733177839357450e+04 2.640800628863971866e+01
1.230609386946949879e+00 2.344424656385127204e+00 1.339173690617666779e+00 3.498850865509379737e-01 -2.184987094703041421e+00 1.472537868617205037e+00 1.316466330849627164e+00 -7.161599179111596269e-01 3.697396675749490491e+00 1.270846143589340116e+00 -2.290729557500701048e+04 2.267067965929818030e+01
1.230595674315486887e+00 2.346056116964424287e+00 1.339240828477162637e+00 3.467480505523249379e-01 -2.198937529765105037e+00 1.429273648447687117e+00 1.287366863244833404e+00 -5.967689811411613920e-01 3.702238645753028301e+00 1.220918298719700035e+00 -2.290711897080917333e+04 2.669318907017334652e+01
1.230768928880413338e+00 2.347065559708090277e+00 1.334113757632562125e+00 3.509870507372956361e-01 -2.173783373282801357e+00 1.368815356365881808e+00 1.293570800746625782e+00 -6.112273458006480809e-01 3.700646177199131692e+00 1.247318343549475461e+00 -2.290709769216763380e+04 2.696973192994716584e+01
1.230938949604298172e+00 2.347349944908848851e+00 1.327469498565443828e+00 3.404885622613924023e-01 -2.170825634802010295e+00 1.409906165837448988e+00 1.302578352285898244e+00 -6.093030566552033456e-01 3.700834384450718773e+00 1.245545158825153820e+00 -2.290705437459672612e+04 2.702006005690734369e+01
1.230856493376651262e+00 2.345584245523498534e+00 1.330568021228942355e+00 3.448090227104581573e-01 -2.112671659008983571e+00 1.352124606790355843e+00 1.321435717896999762e+00 -6.101314717443913072e-01 3.703980808126158486e+00 1.196288324445363482e+00 -2.290704257396949106e+04 2.716584922978554673e+01
1.230321997407408663e+00 2.342923159610172501e+00 1.347363025647824397e+00 3.467801609787630190e-01 -2.203593417350528050e+00 1.364033921133848359e+00 1.322365101055100967e+00 -6.079555460929316757e-01 3.698542968467640968e+00 1.276513092084067491e+00 -2.290692132749163648e+04 2.544025233903231253e+01
1.230749897603720555e+00 2.345276863750223484e+00 1.333833252673111369e+00 3.446902857770833828e-01 -2.182880681356493824e+00 1.354919318757543678e+00 1.303785557842132237e+00 -5.999070269432709157e-01 3.701856769746135090e+00 1.207713600579012336e+00 -2.290691049167777601e+04 2.706926979826594248e+01
1.230604455177418899e+00 2.344430282325032255e+00 1.338564104185323123e+00 3.526772493341061021e-01 -2.136935046342076205e+00 1.431618512504383434e+00 1.295866188348156811e+00 -6.146027813345248392e-01 3.705715739217696925e+00 1.167316127431008876e+00 -2.290682935198842097e+04 2.623357240147172220e+01
