,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
width2__4,0.35064402803160427,0.042646573071535104,0.0015275879963196743,0.2730653434997204,0.43265072662538334,720.0188466418717,0.9994338428344143
width2__5,0.33645464489702315,0.057823298205088136,0.002284792551953212,0.2309335291406383,0.4461775333393997,491.5766727242315,0.9990813139468553
width2__6,0.7426924199273366,0.18554977937860945,0.006753784793455559,0.4067657121671615,1.0932061546058647,674.9358396366279,1.0015344457355262
height0__0,1.0150342653843152,0.308554008128948,0.008234466145375416,0.45094062072034274,1.588190161417016,1013.7706189826553,1.0015147073425852
height0__1,5.154231474602322,1.2089571441359066,0.045241102492485,2.89526957640861,7.491159421607033,743.9570287087681,1.0048453477477883
height0__2,12.636431527377589,3.163262196092516,0.12129899538979745,7.222348643011062,19.08387239183669,703.085067834783,0.9990842758975523
height0__3,44.805139621941294,10.657287763350716,0.3508865628102774,25.168351998195337,65.19329080143528,790.0476261202111,0.9990009784708597
height0__4,53.62306059706403,11.895367541853267,0.4345500742037802,32.350146998125936,74.70933473976899,671.6346987580974,0.9992104092814657
height0__5,17.520656144764185,3.8528164463270214,0.1398218231845169,10.535145460827133,24.868260363763994,728.5504681309346,1.0008609895661964
height0__6,4.205118460975795,0.9187770081793443,0.037693743052003195,2.6099740129718247,6.097042047956501,451.21467074208186,0.9999420804472711
height2__0,0.2174321639189264,0.09049436164774441,0.003043676368843853,0.06908445038509951,0.40405209119381,1030.0116261554167,0.999406615920482
height2__1,2.0528337390964624,0.603421523922076,0.020213429933362483,1.0726559995541929,3.3101889180764377,844.0132134982317,0.9996533301344642
height2__2,7.089659342022324,2.0048352651329058,0.08055888198491522,3.997512901329542,11.29151440151043,609.228377157393,0.9989995000433363
height2__3,11.459763243332189,2.112255728814606,0.06799179590853356,7.773622972918293,15.575735358168439,853.2224903023807,0.9994459612757266
height2__4,22.746909576707473,4.000951607450692,0.1567843740077705,15.446966567169495,29.857953154853814,642.3255914359223,0.9990138037186737
height2__5,9.149757406792158,1.8581945342869248,0.07263171611321215,6.189247033931455,12.73747896436829,444.1000448670196,0.9996846850856721
height2__6,1.6793178472039285,0.3314649839080028,0.009546313296617146,1.0936962493128772,2.320358470072545,1106.2582840490486,0.9990051103051094
back__0,1.0213906565443198,0.0586687915438614,0.0019389835142437754,0.9073397554981757,1.1354734643215167,894.3598708962149,0.9995353160728861
back__1,0.8781282062306603,0.05899134716826901,0.002018428428781429,0.772098207420411,0.9989021632779744,692.7311811844273,1.0033046591157297
back__2,0.9164570071712393,0.06691381319165796,0.0022173294312126833,0.786508970888364,1.0476157478942365,866.4092399731293,0.9990031124402513
back__3,0.5937643791260189,0.07189539260274844,0.00228536023550078,0.4505220712786383,0.7297065440535296,1113.4797976363925,0.9993392185816518
back__4,0.4796733848085133,0.07850597598154542,0.0024054249580286605,0.3333735265726697,0.631447515850296,1203.1832217201354,0.9992424304027918
back__5,0.7142578498634741,0.09980992245348934,0.0034010232755012824,0.5215108845575481,0.9005147099345523,736.619063767221,0.9993496387765795
back__6,0.6986678236671804,0.10301292784254955,0.004148302872569474,0.5090688292584938,0.9094077429317907,497.86132216662406,1.0025917556859862
