ID,error_flag
KIC3231189,-1
KIC3231208,-1
KIC3231503,-1
KIC3232021,-1
KIC3232277,-1
KIC3232285,-1
KIC3232397,-1
KIC3232412,-1
KIC3232488,-1
KIC3232643,-1
KIC3232810,-1
KIC3232813,-1
KIC3232838,-1
KIC3233508,-1
KIC3233647,-1
KIC3233863,-1
KIC3233980,-1
KIC3234175,-1
KIC3234311,-1
KIC3234396,-1
KIC3234597,-1
KIC3234655,-1
KIC3234666,-1
KIC3234703,-1
KIC3234726,-1
KIC3235216,-1
KIC3235616,-1
KIC3235687,-1
KIC3236108,-1
KIC3236361,-1
KIC3236379,-1
KIC3236455,-1
KIC3237572,-1
KIC3238303,-1
KIC3238626,-1
KIC3238859,-1
KIC3238956,-1
KIC3239099,-1
KIC3239204,-1
KIC3239348,-1
KIC3239663,-1
KIC3239707,-1
KIC3240111,-1
KIC3240119,-1
KIC3240280,-1
KIC3240365,-1
KIC3240573,-1
KIC3240670,-1
KIC3240734,-1
KIC3240866,-1
KIC3240882,-1
KIC3241101,-1
KIC3241329,-1
KIC3241374,-1
KIC3241484,-1
KIC3241529,-1
KIC3241822,-1
KIC3241947,-1
KIC3242122,-1
KIC3242233,-1
KIC3242324,-1
KIC3245449,-1
KIC3245721,-1
KIC3246211,-1
KIC3247016,-1
KIC3247146,-1
KIC3247334,-1
KIC3247531,-1
KIC3247570,-1
KIC3248697,-1
KIC3248820,-1
KIC3248982,-1
KIC3323401,-1
KIC3323905,-1
KIC3323943,-1
KIC3324186,-1
KIC3324929,-1
KIC3325179,-1
KIC3325420,-1
KIC3326233,-1
KIC3326392,-1
KIC3326775,-1
KIC3326790,-1
KIC3327006,-1
KIC3327710,-1
KIC3328398,-1
KIC3328620,-1
KIC3330820,-1
KIC3331116,-1
KIC3331352,-1
KIC3335197,-1
KIC3335660,-1
KIC3336055,-1
KIC3336140,-1
KIC3336731,-1
KIC3337029,-1
KIC3337065,-1
KIC3337102,-1
KIC3337400,-1
KIC3337536,-1
KIC3337581,-1
KIC3337589,-1
KIC3337740,-1
KIC3338252,-1
KIC3338464,-1
KIC3339203,-1
KIC3339443,-1
KIC3339519,-1
KIC3339762,-1
KIC3339805,-1
KIC3339894,-1
KIC3339951,-1
KIC3340462,-1
KIC3341037,-1
KIC3341327,-1
KIC3341413,-1
KIC3341498,-1
KIC3342429,-1
KIC3342553,-1
KIC3342658,-1
KIC3342987,-1
KIC3343166,-1
KIC3343186,-1
KIC3343372,-1
KIC3343621,-1
KIC3343630,-1
KIC3343931,-1
KIC3344050,-1
KIC3344365,-1
KIC3344409,-1
KIC3345441,-1
KIC3345830,-1
KIC3346227,-1
KIC3346284,-1
KIC3346398,-1
KIC3346501,-1
KIC3346725,-1
KIC3346779,-1
KIC3346788,-1
KIC3346914,-1
KIC3347054,-1
KIC3347110,-1
KIC3347135,-1
KIC3347286,-1
KIC3347431,-1
KIC3347458,-1
KIC3347554,-1
